case,enforced_pass,all_screens_pass,failed_enforced,failed_advisory,outlet_max_C,chip_upper_C,pressure_kPa,facility_return_C,required_UA_kW_K
reference,True,True,,,55.96999582540781,79.9699958254078,79.83385472782558,47.13213280558631,22.267974710835
flow110,True,False,,"HX_capacity, chip_assumed_target",57.42058524523867,81.42058524523867,67.25358168561323,47.13213280558631,20.251588698497184
flow125,True,False,,CDU_aggregate_flow,55.331749296854866,79.33174929685487,86.52447066412891,47.13213280558631,23.332200475973156
impossible_35C_supply_36C_facility,False,False,HX_cold_pinch,"HX_capacity, HX_approach",50.95041202632825,74.95041202632825,80.48341224636856,47.13213280558631,
header32mm,True,False,,chip_assumed_target,56.074518175002254,80.07451817500225,83.19041969193448,47.13213280558631,22.2679747108351
versioned_pg25,True,False,,"HX_capacity, chip_assumed_target",56.706773338883124,80.70677333888312,80.40552700616014,47.13213280558631,21.176947603856238
hypothetical_stronger_facility,True,True,,,55.96999582540781,79.9699958254078,79.83385472782558,41.56614018065693,15.745650248243656
automatic_switch150M,True,True,,,53.90711118271446,77.90711118271446,103.55519666867544,47.13213280558631,22.267974710835
