component,Pa,kPa,percent
coldplates,44444.46641735362,44.444466417353624,53.424981604778004
qdcs,16805.80168174808,16.80580168174808,20.20160704078939
tubing,8525.232519485846,8.525232519485845,10.24785372048362
fittings,6401.05783064404,6.40105783064404,7.694465125128631
valves,457.21841647457427,0.4572184164745743,0.5496046517949021
restrictions,0.0,0.0,0.0
orifices,0.0,0.0,0.0
header_friction,1843.3621837993528,1.8433621837993528,2.2158346966220095
header_minor,4650.463998760012,4.650463998760012,5.590143692003619
hydrostatic_net,62.81664366896072,0.06281664366896073,0.07550946839982219
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
