tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa,orifice_diameter_mm,orifice_reference_density_kg_m3,balancing_restriction_K,orifice_Cd,orifice_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.09118696371332269,6.022845275181723,5.363939041960157,-10.94011556193737,81.50649786755429,0.35229874003959183,81.15419912751469,40.0,55.40943151238355,15.409431512383549,53.72642027106804,45.732842931901565,19.124643407886104,16.296712787727035,,1016.1476421219041,0.0,0.62,0.0
C02,compute,2,0.13333333333333333,5800.0,0.09078470901548547,6.022845275181723,5.340277000910909,-11.33298703659989,80.48589903272851,0.03746318927427205,80.44843584345423,40.0,55.477580838390395,15.477580838390395,53.647653664770985,45.330248650645025,18.956285799360646,16.16190139344856,,1016.1306047904025,0.0,0.62,0.0
C03,compute,3,0.2,5800.0,0.09041602544261448,6.022845275181723,5.318589731918499,-11.693070485560089,79.4963122080751,-0.30793947045572045,79.8042516785308,40.0,55.540574185452726,15.540574185452726,53.558221241676904,44.9628171126173,18.802632610730875,16.038801955182613,,1016.1148564536368,0.0,0.62,0.0
C04,compute,4,0.26666666666666666,5800.0,0.09007959766289571,6.022845275181723,5.298799862523277,-12.021650558449725,78.5362361856454,-0.6824255829894976,79.21866176863489,40.0,55.598505404195805,15.598505404195805,53.45679535079961,44.62883653310041,18.662968004751082,15.926857230783357,,1016.1003736489511,0.0,0.62,0.0
C05,compute,5,0.3333333333333333,5800.0,0.08977408371037525,6.022845275181723,5.280828453551485,-12.320037917757233,77.60419315434886,-1.0845357000448383,78.6887288543937,40.0,55.65148888322989,15.651488883229888,53.341759115915295,44.32662358320605,18.536588043886162,15.825517227301496,,1016.0871277791925,0.0,0.62,0.0
C06,compute,6,0.39999999999999997,5800.0,0.0894981162361845,6.022845275181723,5.264595072716735,-12.589568016789368,76.69872614431831,-1.5128321788057768,78.2115583231241,40.0,55.699658651149605,15.699658651149605,53.21112522509077,44.054520454040755,18.422799462598864,15.734238406484469,,1016.0750853372126,0.0,0.62,0.0
C07,compute,7,0.4666666666666667,5800.0,0.08925030383118333,6.022845275181723,5.250017872422549,-12.831599807880778,75.81839655035763,-1.9658968979852787,77.78429344834291,40.0,55.74316735664297,15.74316735664297,53.06242604465882,43.81089203677196,18.32091848810464,15.652482923466309,,1016.0642081608393,0.0,0.62,0.0
C08,compute,8,0.5333333333333333,5800.0,0.0890292324020662,6.022845275181723,5.237013670709776,-13.047514398387674,74.96178172978263,-2.4423291018199706,77.4041108316026,40.0,55.78218514696721,15.782185146967208,52.89256248589726,43.59412322155613,18.230269710832562,15.579717899213943,,1016.0544537132582,0.0,0.62,0.0
C09,compute,9,0.6,5800.0,0.08883346658531577,6.022845275181723,5.225498034430339,-13.238713669716951,74.12747266874156,-2.9407433867294794,77.06821605547104,40.0,55.81689846557424,15.81689846557424,52.69759233136642,43.40261632060427,18.15018500679815,15.515414728068631,,1016.0457753836065,0.0,0.62,0.0
S01,switch,10,0.6666666666666666,1240.0,0.04961523126682356,1.2876427829698858,2.9185430156955032,126.65781646086853,73.31407170940835,-3.459767853860521,76.77383956326888,40.0,46.061639216493745,6.061639216493745,52.4724276748708,49.233423473207715,12.308355868301929,15.232060221759207,,1018.4845901958765,0.0,0.62,0.0
