tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa,orifice_diameter_mm,orifice_reference_density_kg_m3,balancing_restriction_K,orifice_Cd,orifice_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.08238147831633026,5.520941502249913,4.84596931272531,-12.225671821545967,66.16313625185273,-0.2391800771466569,66.40231632899938,40.0,57.053099684378594,17.053099684378594,54.97201718315148,37.32689383271196,15.609428330043185,13.465994166244238,,1015.7367250789054,0.0,0.62,0.0
C02,compute,2,0.13333333333333333,5800.0,0.08219898950464413,5.520941502249913,4.835234676743772,-12.420106701487413,65.35229558790947,-0.7597658988252783,66.11206148673475,40.0,57.09088082792459,17.090880827924593,54.87608632170259,37.16170631571528,15.54034991384457,13.410005257174884,,1015.7272797930189,0.0,0.62,0.0
C03,compute,3,0.2,5800.0,0.08203174698236972,5.520941502249913,4.825396881315865,-12.598297240617336,64.55393624233531,-1.2926721486909691,65.84660839102628,40.0,57.125652804364336,17.125652804364336,54.769306156625305,37.010641321387375,15.477177279852903,13.358789789785988,,1015.718586798909,0.0,0.62,0.0
C04,compute,4,0.26666666666666666,5800.0,0.08187912162455675,5.520941502249913,4.816418919091574,-12.760913747614072,63.76748343428222,-1.8373334747848427,65.60481690906707,40.0,57.15750938581198,17.157509385811977,54.65020146906079,36.87304806904926,15.419638283420603,13.3121305565972,,1015.710622653547,0.0,0.62,0.0
C05,compute,5,0.3333333333333333,5800.0,0.08174047751378904,5.520941502249913,4.808263383164061,-12.908633768269764,62.99236650407817,-2.3931893651008296,65.385555869179,40.0,57.18655064847525,17.186550648475247,54.51698020968263,36.74828115300239,15.36746302761918,13.269811688557418,,1015.7033623378811,0.0,0.62,0.0
C06,compute,6,0.39999999999999997,5800.0,0.08161517236048589,5.520941502249913,4.800892491793287,-13.04214163767519,62.228018364720114,-2.959683743499947,65.18770210822007,40.0,57.21288255876817,17.21288255876817,54.36744526340095,36.63569997687501,15.320383626693184,13.231618504651857,,1015.696779360308,0.0,0.62,0.0
C07,compute,7,0.4666666666666667,5800.0,0.08150255793455502,5.520941502249913,4.7942681137973535,-13.162128020309998,61.47387496432412,-3.5362646170161836,65.0101395813403,40.0,57.2366165493404,17.236616549340397,54.19887507970475,36.53466822431524,15.278133984713644,13.197337372311402,,1015.6908458626649,0.0,0.62,0.0
C08,compute,8,0.5333333333333333,5800.0,0.08140198051249724,5.520941502249913,4.788351794852778,-13.26928943366974,60.729374757697514,-4.122383787634434,64.85175854533195,40.0,57.25786908764593,17.25786908764593,54.00785954338937,36.444553372463396,15.240449592121054,13.166755580747527,,1015.6855327280884,0.0,0.62,0.0
C09,compute,9,0.6,5800.0,0.08131278134798077,5.520941502249913,4.783104785175339,-13.364327746886806,59.9939581846969,-4.717496648029526,64.71145483272643,40.0,57.276761238723225,17.276761238723225,53.79007019135622,36.36472625799491,15.207067344252417,13.139661230479089,,1015.6808096903192,0.0,0.62,0.0
S01,switch,10,0.6666666666666666,1240.0,0.04544984539164216,1.1803392177223955,2.673520317155421,126.50440458246364,59.26706715235709,-5.3210620909191455,64.58812924327624,40.0,46.61673070845188,6.6167307084518825,53.5399319376383,41.31376892248352,10.32844223062088,12.94591809017183,,1018.345817322887,0.0,0.62,0.0
S02,switch,11,0.7333333333333333,1240.0,0.04540896964018052,1.1803392177223955,2.671115861187089,126.30069568825513,58.54470210225678,-5.929009155191951,64.47371125744873,40.0,46.62268210555726,6.62268210555726,53.828758782794864,41.23949047565673,10.309872618914182,12.924348162877829,,1018.3443294736107,0.0,0.62,0.0
S03,switch,12,0.7999999999999999,1240.0,0.04537111576395064,1.1803392177223955,2.6688891625853315,126.11204664835844,57.826687104217996,-6.541154427528317,64.36784153174632,40.0,46.62820308187639,6.628203081876393,54.14218047335095,41.17076291331621,10.292690728329053,12.904387890101056,,1018.3429492295309,0.0,0.62,0.0
S04,switch,13,0.8666666666666667,1240.0,0.0453361623794789,1.1803392177223955,2.6668330811458176,125.93785253461189,57.112846594854744,-7.157313760559377,64.27016035541412,40.0,46.63330920277946,6.633309202779458,54.48355733256227,41.107352385969556,10.276838096492389,12.88596987295218,,1018.3416726993051,0.0,0.62,0.0
S05,switch,14,0.9333333333333333,1240.0,0.04530398691839225,1.1803392177223955,2.66494040696425,125.77750251377469,56.40300530109959,-7.777301987663359,64.18030728876295,40.0,46.63801647331741,6.638016473317407,54.85688528545529,41.049024614037116,10.262256153509279,12.869026521216547,,1018.3404958816707,0.0,0.62,0.0
S06,switch,15,1.0,1240.0,0.045274465549525016,1.1803392177223955,2.6632038558544124,125.63037945933715,55.69698816360211,-8.400932585766949,64.09792074936905,40.0,46.64234133097801,6.642341330978013,55.266953771160615,40.995544615902546,10.248886153975636,12.853489979490888,,1018.3394146672555,0.0,0.62,0.0
