tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa,orifice_diameter_mm,orifice_reference_density_kg_m3,balancing_restriction_K,orifice_Cd,orifice_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.09007897701297057,6.022845275181723,5.285807942081402,-12.237361237510505,79.30912492435384,-0.15917405183800282,79.46829897619183,35.0,50.617494415260865,15.617494415260865,48.7094975203118,44.62822154836804,18.662710829317547,16.17736659850624,,1018.5956263961848,0.0,0.62,0.0
C02,compute,2,0.13333333333333333,5800.0,0.08988015325572182,6.022845275181723,5.274141022340644,-12.431072335964814,78.46843631595551,-0.6538965187084655,79.122332834664,35.0,50.65197639780166,15.651976397801661,48.62155946533653,44.431430720996225,18.5804164833257,16.110485630342037,,1018.5870059005496,0.0,0.62,0.0
C03,compute,3,0.2,5800.0,0.08969799407037667,6.022845275181723,5.263451974789828,-12.608547384093018,77.64266753227861,-1.1633515632912823,78.80601909556988,35.0,50.68370217429839,15.68370217429839,48.5236842786918,44.251515771371295,18.505179322573454,16.049324001625134,,1018.5790744564254,0.0,0.62,0.0
C04,compute,4,0.26666666666666666,5800.0,0.08953181148717482,6.022845275181723,5.253700429565271,-12.770456660838702,76.83113209869362,-1.6868624821034386,78.51799458079705,35.0,50.712757779642004,15.712757779642004,48.41452084809566,44.08769897496254,18.43667411680252,15.993621489031973,,1018.5718105550895,0.0,0.62,0.0
C05,compute,5,0.3333333333333333,5800.0,0.08938091000111636,6.022845275181723,5.244845574637635,-12.917477786619958,76.033148435625,-2.2237581501853927,78.25690658581038,35.0,50.73923503590345,15.739235035903448,48.29242790595043,43.93920889945215,18.374578267043628,15.943119419314623,,1018.5651912410242,0.0,0.62,0.0
C06,compute,6,0.39999999999999997,5800.0,0.08924458700838875,6.022845275181723,5.2368461814213445,-13.05029529812492,75.2480392027448,-2.773372499943298,78.02141170268811,35.0,50.76323117705891,15.763231177058913,48.1553932299056,43.80527970663829,18.3185715136851,15.897560482364717,,1018.5591922057353,0.0,0.62,0.0
C07,compute,7,0.4666666666666667,5800.0,0.08912213324864149,6.022845275181723,5.229660630727129,-13.169600217409915,74.47513065611297,-3.33504405024833,77.81017470636128,35.0,50.784848465682785,15.784848465682785,48.000924335564946,43.685150491337346,18.2683356600138,15.856688555010134,,1018.5537878835793,0.0,0.62,0.0
C08,compute,8,0.5333333333333333,5800.0,0.08901283325516404,6.022845275181723,5.223246939178329,-13.276089613297728,73.71375201605433,-3.9081154972993164,77.62186751335365,35.0,50.80419380444573,15.804193804445731,47.82589818683152,43.57806466261401,18.223554313456766,15.82024853728284,,1018.5489515488886,0.0,0.62,0.0
C09,compute,9,0.6,5800.0,0.08891596581817886,6.022845275181723,5.217562786396804,-13.370466149997906,72.96323484295996,-4.491933384494018,77.45516822745398,35.0,50.821378344586435,15.821378344586435,47.62635079501251,43.48326937558753,18.183912647972967,15.787986203893473,,1018.5446554138534,0.0,0.62,0.0
S01,switch,10,0.6666666666666666,1240.0,0.049705644931982776,1.2876427829698855,2.916712661045444,126.51566875699703,72.22291241738178,-5.085847877685983,77.30876029506777,35.0,41.05796239782018,6.057962397820177,47.397176644787805,49.413022762086904,12.353255690521726,15.542481842459122,,1020.985509400545,0.0,0.62,0.0
