tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa,orifice_diameter_mm,orifice_reference_density_kg_m3,balancing_restriction_K,orifice_Cd,orifice_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.09358819351717279,6.273797161647629,5.50518785395134,-12.25110228929422,85.31245754397082,-0.11815698445428097,85.43061452842511,40.0,55.014783328580734,15.014783328580734,53.178238709428854,48.173124811942806,20.145124921357905,17.112364795124385,,1016.2463041678548,0.0,0.62,0.0
C02,compute,2,0.13333333333333333,5800.0,0.09338284405298818,6.273797161647629,5.4931084737051865,-12.443639279810846,84.46136854485886,-0.5992865099191731,85.06065505477802,40.0,55.047740855027826,15.047740855027826,53.09360848365901,47.9619555988359,20.056817795876828,17.041881660065282,,1016.2380647862431,0.0,0.62,0.0
C03,compute,3,0.2,5800.0,0.09319475446389183,6.273797161647629,5.482044380228931,-12.619993299413066,83.6262661439563,-1.0962218935303571,84.72248803748664,40.0,55.07805547067176,15.078055470671757,52.999426373553774,47.76894242771798,19.9761031970457,16.97744241272297,,1016.2304861323321,0.0,0.62,0.0
C04,compute,4,0.26666666666666666,5800.0,0.09302320976641401,6.273797161647629,5.471953515671412,-12.78083472124298,82.8064130190833,-1.6082351396869692,84.41464815877026,40.0,55.10581022153633,15.10581022153633,52.89439335583023,47.59324655385444,19.902630377066405,16.918771227849398,,1016.2235474446159,0.0,0.62,0.0
C05,compute,5,0.3333333333333333,5800.0,0.09286748720191407,6.273797161647629,5.4627933648184746,-12.926841208493395,82.00107713332672,-2.1346042035286796,84.1356813368554,40.0,55.13109368530087,15.131093685300868,52.77693145183514,47.4340359855872,19.836051412154646,16.865593939113538,,1016.2172265786749,0.0,0.62,0.0
C06,compute,6,0.39999999999999997,5800.0,0.09272685668741877,6.273797161647629,5.454520981612869,-13.05869729169888,81.20953103599646,-2.674612421599397,83.88414345759585,40.0,55.153999610669416,15.153999610669416,52.64510605487027,47.29048473121004,19.77602088759693,16.817637838788873,,1016.2115000973326,0.0,0.62,0.0
C07,compute,7,0.4666666666666667,5800.0,0.09260058127049516,6.273797161647629,5.447093015911479,-13.177093942244058,80.43105117809426,-3.2275479929379833,83.65859917103224,40.0,55.17462654959155,15.17462654959155,52.4965208552876,47.16177208398468,19.72219559875723,16.774631488290296,,1016.2063433626022,0.0,0.62,0.0
C08,compute,8,0.5333333333333333,5800.0,0.09248791758954242,6.273797161647629,5.440465740561319,-13.282728140790901,79.66491724002253,-3.792703521515294,83.45762076153784,40.0,55.193077485178264,15.193077485178264,52.32817337377929,47.04708195027494,19.674234270114976,16.736304541147916,,1016.2017306287055,0.0,0.62,0.0
C09,compute,9,0.6,5800.0,0.09238811634379171,6.273797161647629,5.434595079046571,-13.376302436603899,78.91041146864016,-4.369375636415091,83.27978710505525,40.0,55.2094594575712,15.2094594575712,52.13625271825026,46.94560222854696,19.63179729557418,16.702387580934115,,1016.1976351356072,0.0,0.62,0.0
S01,switch,10,0.6666666666666666,1240.0,0.051655867423696294,1.341294565593631,3.0385804366880174,126.54087436365631,78.1668180199321,-4.956864714881724,83.12368273481381,40.0,45.822346507731254,5.822346507731254,51.9158506731701,53.36657278588976,13.34164319647244,16.4154667524516,,1018.5444133730672,0.0,0.62,0.0
S02,switch,11,0.7333333333333333,1240.0,0.05161025747610319,1.341294565593631,3.0358974985943052,126.34084834681157,77.42901861682526,-5.550010976017917,82.97902959284318,40.0,45.8274883029905,5.827488302990503,52.170096483852376,53.27237353499331,13.318093383748327,16.388562674101536,,1018.5431279242523,0.0,0.62,0.0
S03,switch,12,0.7999999999999999,1240.0,0.051568078770758564,1.341294565593631,3.0334163982799156,126.15587031304972,76.69678753768092,-6.148582209087877,82.84536974676881,40.0,45.832251369406436,5.8322513694064355,52.4460042808974,53.18533496214321,13.296333740535802,16.363701044089815,,1018.5419371576484,0.0,0.62,0.0
S04,switch,13,0.8666666666666667,1240.0,0.051529194853364685,1.341294565593631,3.0311291090214523,125.98534183130259,75.96989953511743,-6.752345707819412,82.72224524293685,40.0,45.83664927184532,5.836649271845317,52.746534718645364,53.10515844472051,13.276289611180127,16.340797187036177,,1018.5408376820387,0.0,0.62,0.0
S05,switch,14,0.9333333333333333,1240.0,0.05149346810630392,1.341294565593631,3.029027535664936,125.828659368671,75.2481297388836,-7.361067989150275,82.60919772803389,40.0,45.840695938388365,5.8406959383883645,53.07520868486756,53.03154515229877,13.257886288074692,16.31976628766039,,1018.5398260154029,0.0,0.62,0.0
S06,switch,15,1.0,1240.0,0.05146075969427582,1.341294565593631,3.027103511427989,125.68521405201191,74.53125355864861,-7.974514466114927,82.50576802476354,40.0,45.84440565007844,5.844405650078443,53.43624654831956,52.96419576624005,13.241048941560013,16.3005233169635,,1018.5388985874804,0.0,0.62,0.0
S07,switch,16,1.0666666666666667,1240.0,0.05143092948780918,1.341294565593631,3.02534879340054,125.55439133249446,73.81904658626168,-8.592449060068212,82.41149564632988,40.0,45.847793033470964,5.847793033470964,53.83475111552781,52.90281015960001,13.225702539900002,16.282982946829872,,1018.5380517416322,0.0,0.62,0.0
