component,Pa,kPa,percent
coldplates,44654.130924238416,44.654130924238416,55.48240274349603
qdcs,16871.81754705846,16.871817547058463,20.963099197896796
tubing,8823.801176644085,8.823801176644086,10.96350282668615
fittings,6413.909447719467,6.413909447719467,7.969231508333401
valves,458.13638912281897,0.45813638912281895,0.5692308220238143
restrictions,0.0,0.0,0.0
orifices,0.0,0.0,0.0
header_friction,841.3651995568241,0.8413651995568241,1.045389572923813
header_minor,2357.511940645044,2.3575119406450438,2.9291898477520326
hydrostatic_net,62.73962138344029,0.06273962138344029,0.07795348088794672
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
