component,Pa,kPa,percent
coldplates,48216.64996041672,48.21664996041672,55.72602708843414
qdcs,18217.036966307838,18.217036966307838,21.05420215400429
tubing,9162.265826906332,9.162265826906332,10.589219161446776
fittings,6941.640257432322,6.941640257432322,8.022748020474362
valves,495.8314469594515,0.4958314469594515,0.5730534300338829
restrictions,0.0,0.0,0.0
orifices,0.0,0.0,0.0
header_friction,879.0715741610841,0.8790715741610841,1.0159802971502343
header_minor,2551.666200228974,2.551666200228974,2.9490688364151265
hydrostatic_net,60.308431716175164,0.06030843171617516,0.06970101204118395
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
