design,coolant,heat_kW,flow_LPM,supply_C,nominal_constraints_pass,qualification,score_lower_is_better,RMS_flow_error,outlet_max_C,outlet_spread_K,chip_upper_max_C,chip_target_margin_K,pressure_kPa,pump_W,header_volume_L,FWS_required_LPM,FWS_return_C,minimum_margin,limiting_constraint
baseline_water,water,115.56,120,40,False,Unverified chip thermal model and hardware limits,0.801573421687807,0.7357203683271647,56.21565636644857,10.067295695168298,80.21565636644857,-0.21565636644857022,74.50315321090096,248.34384403633655,4.082813812605295,139.15059989265876,47.13213280558631,-0.01078281832242851,chip_assumed_target
baseline_PG25,PG25,115.56,120,40,True,Unverified chip thermal model and hardware limits,0.8021786427046973,0.7349159697275627,55.96999582540781,9.904932030763916,79.9699958254078,0.030004174592193067,79.83385472782558,266.11284909275196,4.082813812605295,139.15059989265876,47.13213280558631,0.0,CDU_aggregate_flow
baseline_EG50,EG50,115.56,120,40,False,Unverified chip thermal model and hardware limits; EG50 CDU/material compatibility unverified,0.8083360514809881,0.734585227665722,58.58901414235197,11.489602073880292,82.58901414235197,-2.589014142351971,87.25201751052741,290.8400583684247,4.082813812605295,139.15059989265876,47.13213280558631,-0.12945070711759854,chip_assumed_target
selected_water,water,115.56,120,40,True,Unverified chip thermal model and hardware limits,0.05468413359645547,0.005294119022786752,54.03252558206077,0.24407840737200104,77.99873021391858,2.001269786081423,98.27146409786602,327.57154699288674,4.082813812605295,139.15059989265876,47.13213280558631,0.0,CDU_aggregate_flow
selected_PG25,PG25,115.56,120,40,True,Unverified chip thermal model and hardware limits,0.056045756058836445,0.004416969139038677,53.799401136422375,0.2103580476111233,77.79940113642238,2.200598863577625,105.0924025634684,350.3080085448947,4.082813812605295,139.15059989265876,47.13213280558631,0.0,CDU_aggregate_flow
selected_EG50,EG50,115.56,120,40,False,Unverified chip thermal model and hardware limits; EG50 CDU/material compatibility unverified,0.0599558989994874,0.00496403479881029,56.08861344531266,0.24318475833132425,80.08861344531266,-0.08861344531266013,114.72600787331692,382.42002624438976,4.082813812605295,139.15059989265876,47.13213280558631,-0.10334645509531733,HX_capacity
individual_orifices,PG25,115.56,120,40,False,Unverified chip thermal model and hardware limits,0.7982775954694789,0.7215980117032894,59.2646633956482,13.299830775395378,83.2646633956482,-3.264663395648199,82.56350625956382,275.2116875318795,4.082813812605295,139.15059989265876,47.13213280558631,-0.16323316978240995,chip_assumed_target
