component,Pa,kPa,percent
coldplates,44539.182699448094,44.53918269944809,46.21680163340906
qdcs,18494.13781820691,18.49413781820691,19.19074053722115
tubing,8707.702385326798,8.7077023853268,9.035687891740286
fittings,6607.8164203007655,6.607816420300765,6.856707335377483
valves,471.9868871643403,0.47198688716434034,0.4897648096698201
restrictions,14147.22260069515,14.14722260069515,14.68009381788928
header_friction,685.7069609822609,0.6857069609822608,0.7115348929552229
header_minor,2647.8365703138647,2.647836570313865,2.747570343929963
hydrostatic_net,68.51793202906975,0.06851793202906975,0.07109873780773623
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
