component,Pa,kPa,percent
coldplates,53019.35689987782,53.01935689987782,50.4502281864361
qdcs,22016.048217843923,22.016048217843924,20.94922913628108
tubing,10187.053253113154,10.187053253113154,9.693425028475195
fittings,7863.597248393564,7.863597248393564,7.482555405129792
valves,561.6855177423975,0.5616855177423975,0.5344682432235566
restrictions,8355.610637372187,8.355610637372187,7.950727582163695
header_friction,773.820330312591,0.773820330312591,0.7363237602692146
header_minor,2252.4126947081913,2.2524126947081915,2.143268818455162
hydrostatic_net,62.817764104570905,0.0628177641045709,0.05977383956621737
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
