sample,design,coolant,operating_variation,actual_supply_C,actual_compute_fraction,actual_switch_fraction,draw_coldplate_multiplier,draw_qdc_multiplier,draw_tubing_multiplier,draw_restriction_multiplier,draw_compute_load_multiplier,draw_switch_load_multiplier,draw_supply_C,draw_flow_LPM,draw_viscosity_multiplier,draw_roughness_m,draw_efficiency,M_flow,CV_flow,M_thermal,RMS_target_error,max_abs_target_error,zero_load_flow_fraction,T_out_max_C,T_out_min_C,outlet_spread_K,rack_dp_Pa,system_dp_Pa,rack_flow_LPM,heat_W,T_return_C,rack_deltaT_K,pump_hydraulic_W,pump_electrical_W,header_volume_m3,min_header_ID_m,max_header_ID_m,max_header_velocity_m_s,resolved_fluid_volume_m3,minimum_normalized_margin,feasible,error
0,baseline,water,True,36.55721755410903,0.8716198903007893,1.0726553850752818,0.831214883036104,0.7578692295790306,0.9325330905484835,0.8198032193640747,0.8716198903007893,1.0726553850752818,36.55721755410903,102.3782464986105,1.0501545853736696,3.6893700856028344e-05,0.6946600504613601,0.5678252779348042,0.24412110104621862,0.8807027124154039,0.5169862595082042,0.9303021328144967,0.0,53.47133832195118,44.087767439105335,9.383570882845845,48321.781172505165,48321.781172505165,102.3782464986105,102967.95064484255,51.0925679022879,14.535350348178895,82.45165373551083,118.69353028254665,0.004082813812605295,0.038,0.038,1.5135705985295251,0.005694450843896859,0.0,True,
0,C,water,True,36.55721755410903,0.8716198903007893,1.0726553850752818,0.831214883036104,0.7578692295790306,0.9325330905484835,0.8198032193640747,0.8716198903007893,1.0726553850752818,36.55721755410903,102.3782464986105,1.0501545853736696,3.6893700856028344e-05,0.6946600504613601,1.0915166627902004,0.49760050470120293,0.20672921337377545,0.08860235058905283,0.1528475384838806,0.0,53.714307130136206,50.44957163830679,3.2647354918294127,63325.92465209106,63325.92465209106,102.3782464986105,102967.95064484255,51.0925679022879,14.535350348178895,108.05328539640357,155.5484374330145,0.004082813812605295,0.038,0.038,1.5135705985295247,0.005694450843896859,0.0,True,
0,D,water,True,36.55721755410903,0.8716198903007893,1.0726553850752818,0.831214883036104,0.7578692295790306,0.9325330905484835,0.8198032193640747,0.8716198903007893,1.0726553850752818,36.55721755410903,102.3782464986105,1.0501545853736696,3.6893700856028344e-05,0.6946600504613601,1.0960079856063474,0.49801460604177344,0.2117923380333706,0.08959058805131587,0.15475357972729115,0.0,53.75298326548045,50.411356665601545,3.341626599878907,68772.6861121541,68772.6861121541,102.3782464986105,102967.95064484255,51.0925679022879,14.535350348178895,117.34711685269465,168.9274009276311,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.4800038342268318,0.0054545766446872325,0.0,True,
0,E,water,True,36.55721755410903,0.8716198903007893,1.0726553850752818,0.831214883036104,0.7578692295790306,0.9325330905484835,0.8198032193640747,0.8716198903007893,1.0726553850752818,36.55721755410903,102.3782464986105,1.0501545853736696,3.6893700856028344e-05,0.6946600504613601,1.0827496306627618,0.497663611464842,0.19993870038148231,0.08871244368850695,0.15291587070662677,0.0,53.715690676248016,50.53816768667127,3.177522989576744,64930.04093961238,64930.04093961238,102.3782464986105,102967.95064484255,51.0925679022879,14.535350348178895,110.79039560800845,159.48865280855972,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.4800038342268313,0.0054545766446872325,0.0,True,
1,baseline,water,True,25.743244324223078,0.7689428372444046,0.8427090556102959,1.1732652037838003,1.1532846700207917,0.7860923942478999,1.2377018269086209,0.7689428372444046,0.8427090556102959,25.743244324223078,110.1693467970918,0.9379305259211003,2.428323828245451e-05,0.7936113711719993,0.5809977416694223,0.2458173356096414,1.0110154516057104,0.6306514074726858,1.1364692392957316,0.0,39.574346626816805,31.228980375194908,8.345366251621897,71897.51768834284,71897.51768834284,110.1693467970918,89682.26526892676,37.46552458788949,11.722280263666391,132.01504266761808,166.3472166139193,0.004082813812605295,0.038,0.038,1.6250470769997454,0.005694450843896859,0.0,True,
1,C,water,True,25.743244324223078,0.7689428372444046,0.8427090556102959,1.1732652037838003,1.1532846700207917,0.7860923942478999,1.2377018269086209,0.7689428372444046,0.8427090556102959,25.743244324223078,110.1693467970918,0.9379305259211003,2.428323828245451e-05,0.7936113711719993,1.1303721271714913,0.5101298371984933,0.16946499439812132,0.06767758479701579,0.11547956689040362,0.0,38.99635885936647,36.9166520485727,2.079706810793766,95560.8712206647,95560.8712206647,110.1693467970918,89682.26526892676,37.46552458788949,11.722280263666391,175.46464602902734,221.09643637023808,0.004082813812605295,0.038,0.038,1.6250470769997454,0.005694450843896859,0.0,True,
1,D,water,True,25.743244324223078,0.7689428372444046,0.8427090556102959,1.1732652037838003,1.1532846700207917,0.7860923942478999,1.2377018269086209,0.7689428372444046,0.8427090556102959,25.743244324223078,110.1693467970918,0.9379305259211003,2.428323828245451e-05,0.7936113711719993,1.1283974881106498,0.5094896908413711,0.16587082097516173,0.06596847593638909,0.11299080432864689,0.0,38.95916386495247,36.92611497416044,2.033048890792031,104756.98905197562,104756.98905197562,110.1693467970918,89682.26526892676,37.46552458788949,11.722280263666391,192.35015093810418,242.37322942341783,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.59027837277432,0.0054545766446872325,0.0,True,
1,E,water,True,25.743244324223078,0.7689428372444046,0.8427090556102959,1.1732652037838003,1.1532846700207917,0.7860923942478999,1.2377018269086209,0.7689428372444046,0.8427090556102959,25.743244324223078,110.1693467970918,0.9379305259211003,2.428323828245451e-05,0.7936113711719993,1.1230106549683372,0.5099791177933782,0.16405667919194944,0.06724463760502349,0.11580934622329132,0.0,39.001303182464085,36.976197607416054,2.0251055750480305,97976.291414182,97976.291414182,110.1693467970918,89682.26526892676,37.46552458788949,11.722280263666391,179.89973377836574,226.68492452759486,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.59027837277432,0.0054545766446872325,0.0,True,
2,baseline,water,True,37.164299473931806,0.9156736747967913,0.8105972767645031,1.017418364220521,0.8705677272119184,0.7754998593207691,1.1616283158117415,0.9156736747967913,0.8105972767645031,37.164299473931806,129.52203484659123,0.9334789017886667,7.025111808327121e-06,0.7841236445023878,0.5719670330752019,0.24714973598742876,1.2380518187170304,0.8808571413831162,1.572351404980167,0.0,51.25950489528026,41.7046687849396,9.55483611034066,82534.44844322096,82534.44844322096,129.52203484659123,104642.59725747687,48.84327839516328,11.678978921231476,178.16716178845087,227.2181983512529,0.004082813812605295,0.038,0.038,1.9124773481074595,0.005694450843896859,-0.0793502903882602,False,
2,C,water,True,37.164299473931806,0.9156736747967913,0.8105972767645031,1.017418364220521,0.8705677272119184,0.7754998593207691,1.1616283158117415,0.9156736747967913,0.8105972767645031,37.164299473931806,129.52203484659123,0.9334789017886667,7.025111808327121e-06,0.7841236445023878,1.1370613283549986,0.5196632874908582,0.05916633446052505,0.020332705624202613,0.033493253871874476,0.0,49.24794201960316,48.54668876927764,0.7012532503255215,110335.39594579152,110335.39594579152,129.52203484659123,104642.59725747687,48.84327839516328,11.678978921231476,238.1810833083875,303.7544971106431,0.004082813812605295,0.038,0.038,1.912477348107459,0.005694450843896859,-0.0793502903882602,False,
