component,Pa,kPa,percent
coldplates,53018.717411670106,53.0187174116701,46.32028188279094
qdcs,22015.829993330575,22.015829993330577,19.234328949462835
tubing,10186.872516794043,10.186872516794043,8.899853288003035
fittings,7863.5077574081515,7.8635077574081516,6.870024657188045
valves,561.6791255291537,0.5616791255291537,0.4907160469420032
restrictions,16799.47877898415,16.79947877898415,14.677016542750769
header_friction,802.3016283981294,0.8023016283981295,0.7009380723767474
header_minor,3149.9202911156212,3.149920291115621,2.751956345150719
hydrostatic_net,62.82109229313697,0.06282109229313697,0.05488421533491161
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
