tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.08994292417886916,6.022845275181725,5.285578306299853,-12.241173983331773,78.91996556815288,-0.15979925870346853,79.07976482685635,38.0,53.62972204467735,15.62972204467735,51.71963639485256,44.493512854151945,18.60637810264536,15.979873870059043
C02,compute,2,0.13333333333333333,5800.0,0.08974477032300415,6.022845275181725,5.2739336134968156,-12.4345160379753,78.08141642145831,-0.6545968901373926,78.73601331159571,38.0,53.66416663209452,15.66416663209452,51.631606063869185,44.297680901808214,18.524484740756165,15.913847669031293
C03,compute,3,0.2,5800.0,0.0895632356953872,6.022845275181725,5.263265564861148,-12.611642431702,77.25769723630032,-1.164045034580969,78.42174227088128,38.0,53.695855862475014,15.695855862475014,51.533631780513815,44.11865253525114,18.4496183329232,15.853471402706925
C04,compute,4,0.26666666666666666,5800.0,0.08939763326567368,6.022845275181725,5.253533786425486,-12.773223511590665,76.44812488819174,-1.6874700859407443,78.13559497413249,38.0,53.72487595933217,15.724875959332167,51.42436136851586,43.95565258427137,18.38145471705894,15.798487672802194
C05,compute,5,0.3333333333333333,5800.0,0.08924726851832801,6.022845275181725,5.244697464348365,-12.919936928146997,75.65202113892738,-2.224204006539973,77.87622514546736,38.0,53.75131892192428,15.75131892192428,51.302152269916576,43.80791215890398,18.319672357359845,15.748640629203534
C06,compute,6,0.39999999999999997,5800.0,0.08911143989115053,6.022845275181725,5.236715370684654,-13.052467207425506,74.86871198614833,-2.7735838110464432,77.64229579719476,38.0,53.775282149119164,15.775282149119164,51.164990684827046,43.67466795710773,18.263952054790508,15.703675785296522
C07,compute,7,0.4666666666666667,5800.0,0.08898943921988968,6.022845275181725,5.229545889513595,-13.171505317213947,74.09752702604898,-3.334951100841938,77.43247812689091,38.0,53.79686805527268,15.796868055272682,51.010382182471176,43.55516160968741,18.21397667314201,15.663339844061477
C08,compute,8,0.5333333333333333,5800.0,0.08888055219108412,6.022845275181725,5.223147043550487,-13.277748225187622,73.3377988270697,-3.907651660393535,77.24545048746324,38.0,53.81618368094246,15.816183680942459,50.83520130014534,43.448639067856156,18.169430882921663,15.627380536685404
C09,compute,9,0.6,5800.0,0.08878405880846321,6.022845275181725,5.217476521555135,-13.37189844383459,72.58886231182967,-4.491035132942786,77.07989744477244,38.0,53.83334030057773,15.833340300577731,50.635480987782614,43.354350041775604,18.130000926560704,15.595546476436153
S01,switch,10,0.6666666666666666,1240.0,0.04963461425110424,1.287642782969886,2.9168235602999553,126.5242813361981,71.8500541437566,-5.084454801983927,76.93450894574053,38.0,44.0622123018116,6.0622123018115985,50.40611181537747,49.271898637118404,12.317974659279601,15.344635649342516
S02,switch,11,0.7333333333333333,1240.0,0.049590476779231514,1.287642782969886,2.9142297813456324,126.32284511579384,71.1166235879597,-5.683111814659191,76.79973540261888,38.0,44.06760393964663,6.067603939646631,50.670790909192476,49.184307743830004,12.296076935957501,15.319350722831365
S03,switch,12,0.7999999999999999,1240.0,0.049549642317714034,1.287642782969886,2.9118301068196297,126.13648329575022,70.38836149366598,-6.2867902481722675,76.67515174183826,38.0,44.07260064420541,6.072600644205409,50.95801607071485,49.103341076267945,12.275835269066986,15.295975396503309
S04,switch,13,0.8666666666666667,1240.0,0.049511979306964736,1.287642782969886,2.909616805502335,125.96459545957646,69.66505914450765,-6.895273604633495,76.56033274914115,38.0,44.07721657577963,6.07721657577963,51.2708684161571,49.028721897866085,12.257180474466521,15.274430376808551
S05,switch,14,0.9333333333333333,1240.0,0.049477355016545946,1.287642782969886,2.907582077368028,125.80657584721054,68.94650816785871,-7.508344528831488,76.4548526966902,38.0,44.081466280859956,6.081466280859956,51.613012003387894,48.96017318866649,12.240043297166622,15.254636210857067
S06,switch,15,1.0,1240.0,0.04944563548380375,1.287642782969886,2.9057180499786726,125.66181307495657,68.23250044403434,-8.125784478250843,76.3582849222852,38.0,44.08536468255875,6.0853646825587475,51.98883870097188,48.89741736794385,12.224354341985963,15.236513212355364
S07,switch,16,1.0666666666666667,1240.0,0.049416685428912865,1.287642782969886,2.9040167734914513,125.52968974776348,67.52282801493025,-8.74737332998058,76.27020134491083,38.0,44.0889270742386,6.0889270742385975,52.40365852349822,48.840175975602584,12.210043993900646,15.21998137540759
S08,switch,17,1.1333333333333333,1240.0,0.04939036813905453,1.287642782969886,2.9024702138523715,125.40958193063175,66.81728299158222,-9.372888903297184,76.1901718948794,38.0,44.092169117318974,6.092169117318974,52.86395299917098,48.788169298226656,12.197042324556664,15.204960272096047
S09,switch,18,1.2,1240.0,0.0493665453115798,1.287642782969886,2.901070243579616,125.30085843283626,66.11565746000242,-10.002106368124934,76.11776382812735,38.0,44.09510684458337,6.09510684458337,53.37771734485614,48.741115920005235,12.185278980001309,15.191368928120788
C10,compute,19,1.2666666666666666,5800.0,0.08818295405692952,6.022845275181725,5.1821520503582486,-13.958406474224278,65.4177433844868,-10.634797496761761,76.05254088124856,38.0,53.941061180929125,15.941061180929125,53.954930016773915,42.76928362413599,17.88533678827505,15.397920468837537
C11,compute,20,1.3333333333333333,5800.0,0.08815176017639921,6.022845275181725,5.1803189134025,-13.988842868851615,64.72594398263037,-11.273469028076251,75.99941301070662,38.0,53.946691294947925,15.946691294947925,53.956665318224566,42.73903052208571,17.872685491054025,15.387696997566888
C12,compute,21,1.4,5800.0,0.08812688328756026,6.022845275181725,5.1788570002483985,-14.013115668289533,64.03959322918283,-11.917463854415898,75.95705708359871,38.0,53.95118412045343,15.951184120453433,53.95809119729461,42.71491156888597,17.862599383352315,15.379546131360451
C13,compute,22,1.4666666666666666,5800.0,0.08810754667539238,6.022845275181725,5.177720666526486,-14.031982726465428,63.35802095348078,-12.566121261324954,75.92414221480573,38.0,53.954678107842426,15.954678107842426,53.95924295836778,42.696168796360446,17.854761496659826,15.37321192178545
C14,compute,23,1.5333333333333332,5800.0,0.08809296582414754,6.022845275181725,5.176863809450394,-14.046209508608134,62.680551540732445,-13.218775747655819,75.89932728838826,38.0,53.95731377571718,15.957313775717182,53.96015624194774,42.68203845231934,17.84885244369718,15.36843639237172
C15,compute,24,1.5999999999999999,5800.0,0.08808234689945348,6.022845275181725,5.176239778616266,-14.056570572285104,62.0065021806993,-13.874755447091324,75.88125762779062,38.0,53.95923382482499,15.959233824824992,53.96086701674017,42.67174909423614,17.844549621226022,15.364958912328447
C16,compute,25,1.6666666666666667,5800.0,0.08807488424177534,6.022845275181725,5.175801228703741,-14.063852013074099,61.335180280084884,-14.533379811911196,75.86856009199607,38.0,53.960583453493314,15.960583453493314,53.96141148832942,42.66451878811169,17.84152603866489,15.362515265219484
