tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.1023827175585649,6.022512797567325,6.022512797562641,-7.777752763363317e-11,106.52107140054277,-0.182747047803302,106.70381844834608,40.0,53.727176790834335,13.727176790834335,53.727176790823705,57.652214700722794,24.10910796575681,24.94249578186645
C02,compute,2,0.13333333333333333,5800.0,0.10238271755856457,6.022512797567325,6.022512797562621,-7.810284319013495e-11,105.62037273061412,-0.6155377530129827,106.2359104836271,40.0,53.72717679083439,13.727176790834392,53.72717679082314,57.65221470072243,24.109107965756653,24.474587817148027
C03,compute,3,0.2,5800.0,0.10238271755856389,6.022512797567325,6.022512797562581,-7.876702911799274e-11,104.74046518438504,-1.0687437666528414,105.80920895103789,40.0,53.727176790834505,13.727176790834505,53.72717679082251,57.65221470072166,24.10910796575633,24.04788628455988
C04,compute,4,0.26666666666666666,5800.0,0.10238271755856282,6.022512797567325,6.022512797562519,-7.981074986176928e-11,103.88065740111236,-1.5416893206854658,105.42234672179784,40.0,53.72717679083462,13.72717679083462,53.72717679082177,57.652214700720464,24.10910796575583,23.661024055321562
C05,compute,5,0.3333333333333333,5800.0,0.10238271755856125,6.022512797567325,6.022512797562426,-8.134244394029847e-11,103.04022151422286,-2.0336622526167742,105.07388376683964,40.0,53.72717679083485,13.727176790834847,53.72717679082098,57.652214700718694,24.10910796575509,23.312561100365865
C06,compute,6,0.39999999999999997,5800.0,0.10238271755855913,6.022512797567325,6.022512797562301,-8.34163306129973e-11,102.21839166330616,-2.543912515886784,104.76230417919294,40.0,53.72717679083513,13.72717679083513,53.72717679082007,57.65221470071631,24.10910796575409,23.000981512722554
C07,compute,7,0.4666666666666667,5800.0,0.10238271755855637,6.022512797567325,6.022512797562139,-8.611373876899121e-11,101.41436242063412,-3.071650607075669,104.48601302770979,40.0,53.72717679083547,13.727176790835472,53.72717679081899,57.652214700713195,24.10910796575279,22.724690361243812
C08,compute,8,0.5333333333333333,5800.0,0.10238271755855284,6.022512797567325,6.022512797561932,-8.955666174196835e-11,100.62728712098746,-3.6160458995079776,104.24333302049544,40.0,53.72717679083598,13.727176790835983,53.72717679081768,57.65221470070923,24.10910796575113,22.4820103540351
C09,compute,9,0.6,5800.0,0.10238271755854844,6.022512797567325,6.0225127975616735,-9.385353805076266e-11,99.85627608049201,-4.17622487003938,104.0325009505314,40.0,53.72717679083655,13.727176790836552,53.727176790816145,57.65221470070427,24.109107965749057,22.271178284078065
S01,switch,10,0.6666666666666666,1240.0,0.021888718926451792,1.2875717015488763,1.2875717015559878,5.523067816243753e-10,99.1003946858171,-4.7512692018594,103.8516638876765,40.0,53.72717679074799,13.72717679074799,53.727176790814326,9.582320324824178,2.3955800812060444,91.87376348164631
S02,switch,11,0.7333333333333333,1240.0,0.02188871892645317,1.2875717015488763,1.2875717015560686,5.585993857944104e-10,98.3467331388173,-5.328478540105389,103.6752116789227,40.0,53.72717679074714,13.727176790747137,53.72717679081563,9.582320324825384,2.395580081206346,91.69731127289097
S03,switch,12,0.7999999999999999,1240.0,0.02188871892645431,1.2875717015488763,1.2875717015561359,5.638141635574875e-10,97.59529701387852,-5.907859112543604,103.50315612642213,40.0,53.7271767907464,13.727176790746398,53.727176790817,9.582320324826382,2.3955800812065955,91.52525572038914
S04,switch,13,0.8666666666666667,1240.0,0.021888718926455192,1.2875717015488763,1.2875717015561878,5.67840162195243e-10,96.846091123116,-6.4894164027930135,103.33550752590901,40.0,53.72717679074589,13.727176790745887,53.727176790818476,9.582320324827155,2.3955800812067887,91.35760711987507
S05,switch,14,0.9333333333333333,1240.0,0.021888718926455757,1.2875717015488763,1.287571701556221,5.704237754942751e-10,96.09911947818874,-7.0731551119965195,103.17227459018527,40.0,53.72717679074549,13.727176790745489,53.72717679082001,9.58232032482765,2.3955800812069126,91.1943741841507
S06,switch,15,1.0,1240.0,0.02188871892645597,1.2875717015488763,1.2875717015562336,5.713906491828699e-10,95.35438525052983,-7.659079118876837,103.01346436940666,40.0,53.727176790745375,13.727176790745375,53.72717679082166,9.582320324827835,2.3955800812069588,91.03556396337186
S07,switch,16,1.0666666666666667,1240.0,0.021888718926455757,1.2875717015488763,1.287571701556221,5.704237754942751e-10,94.61189072992275,-8.247191438105832,102.85908216802858,40.0,53.72717679074549,13.727176790745489,53.72717679082331,9.58232032482765,2.3955800812069126,90.88118176199401
S08,switch,17,1.1333333333333333,1240.0,0.021888718926455046,1.2875717015488763,1.287571701556179,5.67174445885063e-10,93.87163728135128,-8.837494176912458,102.70913145826374,40.0,53.72717679074594,13.727176790745943,53.72717679082507,9.582320324827027,2.3955800812067567,90.73123105222996
S09,switch,18,1.2,1240.0,0.02188871892645374,1.2875717015488763,1.2875717015561023,5.612146998701178e-10,93.13362530004541,-9.429988489850388,102.56361378989581,40.0,53.72717679074674,13.72717679074674,53.727176790826945,9.582320324825885,2.395580081206471,90.58571338386349
C10,compute,19,1.2666666666666666,5800.0,0.10238271755855717,6.022512797567325,6.022512797562186,-8.532755950744524e-11,92.39785416464228,-10.024674531642267,102.42252869628454,40.0,53.72717679083536,13.727176790835358,53.72717679082882,57.6522147007141,24.109107965753168,20.661206029817283
C11,compute,20,1.3333333333333333,5800.0,0.1023827175585686,6.022512797567325,6.022512797562858,-7.415839206755091e-11,91.6753778234181,-10.63244338319333,102.30782120661144,40.0,53.72717679083382,13.727176790833823,53.727176790828025,57.65221470072697,24.109107965758554,20.546498540125892
C12,compute,21,1.4,5800.0,0.10238271755858044,6.022512797567325,6.0225127975635555,-6.259613499688358e-11,90.96496001120177,-11.252075395217357,102.21703540641911,40.0,53.72717679083223,13.727176790832232,53.72717679082717,57.65221470074031,24.10910796576413,20.45571273991468
C13,compute,22,1.4666666666666666,5800.0,0.10238271755859264,6.022512797567325,6.022512797564272,-5.0681452740006004e-11,90.26530009762996,-11.882286841623538,102.14758693925351,40.0,53.72717679083064,13.72717679083064,53.72717679082632,57.65221470075405,24.109107965769876,20.386264272729623
C14,compute,23,1.5333333333333332,5800.0,0.1023827175586051,6.022512797567325,6.022512797565006,-3.8509229000897845e-11,89.57502879257463,-12.521725777571485,102.0967545701461,40.0,53.727176790828935,13.727176790828935,53.72717679082547,57.652214700768084,24.109107965775742,20.3354319036023
C15,compute,24,1.5999999999999999,5800.0,0.10238271755861787,6.022512797567325,6.022512797565756,-2.60387993349964e-11,88.89270280247698,-13.168966937454657,102.06166973993165,40.0,53.72717679082723,13.72717679082723,53.727176790824615,57.65221470078246,24.109107965781757,20.300347073367462
C16,compute,25,1.6666666666666667,5800.0,0.10238271755863083,6.022512797567325,6.022512797566519,-1.3378602261135577e-11,88.21679768766187,-13.82250499610174,102.0393026837636,40.0,53.727176790825524,13.727176790825524,53.727176790823705,57.65221470079705,24.10910796578786,20.27798001717867
C17,compute,26,1.7333333333333334,5800.0,0.10238271755864402,6.022512797567325,6.022512797567295,-5.015281496069062e-13,87.54569714907923,-14.480744598519557,102.02644174759878,40.0,53.72717679082376,13.727176790823762,53.727176790822796,57.6522147008119,24.10910796579407,20.26511908099281
C18,compute,27,1.8,5800.0,0.1023827175586578,6.022512797567325,6.022512797568106,1.2958403000654114e-11,86.87786434620449,-15.142051454034704,102.01991580023919,40.0,53.727176790821886,13.727176790821886,53.727176790821886,57.65221470082743,24.10910796580056,20.25859313361121
