M_flow,CV_flow,M_thermal,RMS_target_error,max_abs_target_error,zero_load_flow_fraction,T_out_max_C,T_out_min_C,outlet_spread_K,rack_dp_Pa,system_dp_Pa,rack_flow_LPM,heat_W,T_return_C,rack_deltaT_K,pump_hydraulic_W,pump_electrical_W,header_volume_m3,min_header_ID_m,max_header_ID_m,max_header_velocity_m_s,resolved_fluid_volume_m3,minimum_normalized_margin,feasible,design,objective
0.9798881806196078,0.45308903956214436,0.26143298894232525,0.14046815019354222,0.24436184945803777,0.0,54.7315275017711,51.44615323834023,3.2853742634308674,111521.58938048789,111521.58938048789,115.67840556584842,115560.0,54.23833833908395,14.238338339083953,215.0106607617349,358.35110126955817,0.0036364110736274223,0.030294851481243293,0.04317667939434411,1.7820545914889154,0.005248048104918986,0.0,True,D,0.1996307414643937
1.084995044995652,0.5022427064827932,0.021570731207952238,0.006288002137245617,0.013913600876193461,0.0,53.8329301331363,53.539093447142875,0.29383668599342627,114481.41321422196,114481.41321422196,119.9935384205448,115560.0,53.72715820320656,13.727158203206557,228.95049758265014,381.58416263775024,0.0038099968970397424,0.035065004354821266,0.03836939906479221,1.7488901102135788,0.005421633928331306,0.0,True,D,0.060299101341793455
1.0851712267424525,0.5023306913630264,0.021564360045975492,0.0062829206667582545,0.013951960575420532,0.0,53.83225389402861,53.53856252765132,0.29369136637728843,114478.54124039454,114478.54124039454,119.99371197008654,115560.0,53.72713838228117,13.727138382281169,228.94508507259295,381.5751417876549,0.0038101169914701374,0.035090418202073405,0.038342334329371515,1.7492687001265137,0.005421754022761701,0.0,True,D,0.06029315641016585
1.0848132947863658,0.5023130125748617,0.021204047125939755,0.0061761107660676315,0.013714584380176389,0.0,53.83058802327332,53.541765479040464,0.2888225442328576,114461.59743431474,114461.59743431474,119.99337567015172,115560.0,53.727176790823705,13.727176790823705,228.91055767902338,381.51759613170566,0.003842768608869733,0.035259405146555865,0.038488037593577065,1.7359665460999862,0.005454405640161297,0.0,True,D,0.06029079398768172
1.0848139388608513,0.5023131275230848,0.021204574331073887,0.006176291940334962,0.01371491840062807,0.0,53.83013041031762,53.54131036180007,0.2888200485175503,114469.21952393372,114469.21952393372,119.99737567015173,115560.0,53.72671996799602,13.726719967996019,228.93343229804233,381.55572049673725,0.003842689777399638,0.035257869246103864,0.038488037593577065,1.7360240234597464,0.0054543268086912015,0.0,True,D,0.06029390510370282
1.0852238383205801,0.5023357177213726,0.02161312500841895,0.006297890726847415,0.013984255976497032,0.0,53.8324535660297,53.53810493359117,0.2943486324385276,114480.30723401374,114480.30723401374,119.99395253525802,115560.0,53.72711090766006,13.727110907660062,228.94907587433337,381.581793123889,0.003805376125121581,0.03505857142370121,0.03832439495690244,1.7509414146481632,0.005417013156413145,0.0,True,D,0.06029263108273781
1.084970714130988,0.5023217311350736,0.021360891034919772,0.006222753019907173,0.013817964357029483,0.0,53.83130333141213,53.540361837228204,0.2909414941839259,114468.65896112965,114468.65896112965,119.99359790831846,115560.0,53.72715140915898,13.727151409158978,228.92510394143713,381.5418399023952,0.003828286564289284,0.03518255583936174,0.038424994016877406,1.7417129244115972,0.005439923595580848,0.0,True,D,0.06029086622937672
1.084888387314007,0.5023171637067572,0.021278921831068946,0.006198379918101561,0.013763899968855985,0.0,53.83093002719079,53.54109587430054,0.2898341528902506,114464.96996587668,114464.96996587668,119.99348156590318,115560.0,53.72716469653267,13.727164696532668,228.91750439236807,381.52917398728016,0.0038358223016200835,0.035221973964245486,0.03845799753777924,1.7387011422700942,0.005447459332911647,0.0,True,D,0.06029070892917984
1.08485226477961,0.5023151567685975,0.021242966850821922,0.006187696018806348,0.013740181391229187,0.0,53.830766357684354,53.54141794673018,0.28934841095417596,114463.36694006794,114463.36694006794,119.99343036125666,115560.0,53.72717054458235,13.72717054458235,228.91420083063346,381.5236680510558,0.0038391419901094384,0.03523932873019995,0.03847252305384029,1.7373780584264222,0.005450779021401002,0.0,True,D,0.06029070542297114
1.0848343965581997,0.5023141633706606,0.021225183919125295,0.006182413504643416,0.01372844959524101,0.0,53.830685425921274,53.541577261481166,0.28910816444010834,114462.57752483984,114462.57752483984,119.99340499701441,115560.0,53.72717344141796,13.72717344141796,228.91257369900444,381.5209561650074,0.003840787091727839,0.03524792679077275,0.03847971827406298,1.736723224656864,0.005452424123019403,0.0,True,D,0.060290718539684734
