parameter,value,M_flow,CV_flow,M_thermal,RMS_target_error,max_abs_target_error,zero_load_flow_fraction,T_out_max_C,T_out_min_C,outlet_spread_K,rack_dp_Pa,system_dp_Pa,rack_flow_LPM,heat_W,T_return_C,rack_deltaT_K,pump_hydraulic_W,pump_electrical_W,header_volume_m3,min_header_ID_m,max_header_ID_m,max_header_velocity_m_s,resolved_fluid_volume_m3,minimum_normalized_margin,feasible,error
header_diameter_mm,25.0,0.6296378399380037,0.2525821910160964,1.0861277280367692,0.7210738521455891,1.271419409311366,0.0,56.45063569201943,46.04872906509752,10.401906626921914,95073.75783143731,95073.75783143731,120.0,115560.0,53.72642027106804,13.726420271068037,190.1475156628746,316.912526104791,0.001767145867644259,0.025,0.025,4.101967192970582,0.003378782898935823,-0.36732239765686064,False,
header_diameter_mm,27.5,0.5930969264510287,0.24894155576115443,1.0746592936450974,0.7263642062255474,1.2688980616074157,0.0,56.25764703372624,46.05544587540987,10.20220115831637,89004.29847354686,89004.29847354686,120.0,115560.0,53.72642027106804,13.726420271068037,178.00859694709374,296.6809949118229,0.002138246499849553,0.0275,0.0275,3.3900555313806473,0.003749883531141117,-0.13001851046021576,False,
header_diameter_mm,30.0,0.5699409391756164,0.24694952474602905,1.067493904049079,0.7298093961924217,1.2673772506231602,0.0,56.13835501881687,46.05950449702584,10.078850521791026,85224.71714948698,85224.71714948698,120.0,115560.0,53.72642027106809,13.726420271068093,170.44943429897398,284.08239049829,0.0025446900494077327,0.03,0.03,2.848588328451793,0.004156327080699297,0.0,True,
header_diameter_mm,32.5,0.5548043362674695,0.24578199026433256,1.0628562494888951,0.7320997212350879,1.2664183073898723,0.0,56.06163381988529,46.06206644784453,9.999567372040758,82778.60355125628,82778.60355125628,120.0,115560.0,53.72642027106804,13.726420271068037,165.55720710251256,275.92867850418764,0.0029864765163187977,0.0325,0.0325,2.427199522467801,0.004598113547610362,0.0,True,
header_diameter_mm,35.0,0.544621811837181,0.2450570196376163,1.059758538007838,0.7336573867600525,1.2657901929853932,0.0,56.01058675537274,46.0637457177757,9.94684103759704,81142.06277117861,81142.06277117861,120.0,115560.0,53.72642027106804,13.726420271068037,162.28412554235723,270.4735425705954,0.003463605900582748,0.035,0.035,2.0928404045768274,0.005075242931874312,0.0,True,
header_diameter_mm,37.5,0.5375913695430101,0.2445849672052916,1.0576308250680826,0.7347408421217915,1.2653651730845008,0.0,55.97560903368935,46.06488254044706,9.910726493242294,80015.20533322927,80015.20533322927,120.0,115560.0,53.72642027106804,13.726420271068037,160.03041066645855,266.71735111076424,0.003976078202199583,0.0375,0.0375,1.8230965302091484,0.005587715233491147,0.0,True,
header_diameter_mm,40.0,0.5326223437850378,0.24426540224729446,1.0561326724937417,0.7355105529923617,1.2650693858882218,0.0,55.95101742342695,46.06567394931449,9.88534347411246,79219.5786172091,79219.5786172091,120.0,115560.0,53.72642027106804,13.726420271068037,158.43915723441822,264.0652620573637,0.004523893421169303,0.04,0.04,1.6023309347541344,0.006135530452460867,0.0,True,
header_diameter_mm,42.5,0.5290358498765694,0.24404198470942534,1.0550546629071202,0.7360681921242711,1.2648585498597702,0.0,55.93333941916478,46.0662381887451,9.867101230419678,78645.30725408449,78645.30725408449,120.0,115560.0,53.72642027106809,13.726420271068093,157.29061450816897,262.15102418028164,0.005107051557491909,0.0425,0.0425,1.4193658107164642,0.006718688588783473,0.0,True,
header_diameter_mm,45.0,0.5263980413661824,0.24388152739157515,1.054263784861383,0.7364794764010618,1.264705073049615,0.0,55.920377941362176,46.06664898944621,9.853728951915969,78222.65324489739,78222.65324489739,120.0,115560.0,53.72642027106809,13.726420271068093,156.44530648979477,260.7421774829913,0.005725552611167398,0.045,0.045,1.266039257089686,0.007337189642458962,0.0,True,
header_diameter_mm,47.5,0.5244248616754512,0.24376363388607886,1.0536733891028838,0.7367877891823903,1.2645912524951046,0.0,55.91070561708756,46.06695368093966,9.843751936147896,77906.14842825456,77906.14842825456,120.0,115560.0,53.72642027106809,13.726420271068093,155.8122968565091,259.6871614275152,0.006379396582195772,0.0475,0.0475,1.136279000822876,0.007991033613487335,0.0,True,
header_diameter_mm,50.0,0.5229261476691043,0.24367530487456576,1.053225729332509,0.7370223554567799,1.2645054358894658,0.0,55.90337313824989,46.067183427608086,9.836189710641804,77665.42861536109,77665.42861536109,120.0,115560.0,53.72642027106804,13.726420271068037,155.3308572307222,258.88476205120367,0.007068583470577036,0.05,0.05,1.025491798242646,0.0086802205018686,0.0,True,
rack_flow_LPM,90.0,0.5379838233181351,0.24480211504543903,1.0571978789529664,0.7341267319219084,1.2643853314205133,0.0,61.289898828599235,48.08802486950623,13.201873959093007,45303.904292981664,45303.904292981664,90.0,115560.0,58.29177602660252,18.29177602660252,67.9558564394725,113.25976073245417,0.004082813812605295,0.038,0.038,1.3345838778576355,0.005694450843896859,-0.2050413223140496,False,
rack_flow_LPM,95.0,0.5376292013093662,0.24473843852057464,1.0571954882971388,0.7342981558489169,1.264571652396709,0.0,60.16958151909722,47.66210458065916,12.50747693843806,50389.25437824009,50389.25437824009,95.0,115560.0,57.3310671413675,17.331067141367498,79.78298609888014,132.97164349813357,0.004082813812605295,0.038,0.038,1.4080583220925755,0.005694450843896859,-0.16337465564738288,False,
rack_flow_LPM,100.0,0.537326224777306,0.24468216276032467,1.0572043114023837,0.7344502979936083,1.264742882403205,0.0,59.16149990154156,47.27878729761767,11.882712603923892,55742.85794538778,55742.85794538778,100.0,115560.0,56.46623837019496,16.466238370194958,92.90476324231298,154.84127207052165,0.004082813812605295,0.038,0.038,1.481533198456601,0.005694450843896859,-0.12170798898071618,False,
rack_flow_LPM,105.0,0.5370646508652939,0.2446321384283033,1.057220388245001,0.7345860088707701,1.264899984582878,0.0,58.249552452629075,46.931989026417,11.317563426212075,61364.39669260399,61364.39669260399,105.0,115560.0,55.683618411427574,15.683618411427574,107.38769421205699,178.9794903534283,0.004082813812605295,0.038,0.038,1.5550084448186383,0.005694450843896859,-0.08004132231404959,False,
rack_flow_LPM,110.0,0.5368366979631677,0.24458743761887294,1.0572410106261136,0.7347076253112984,1.2650440458246364,0.0,57.42058524523867,46.61673070845188,10.803854536786787,67253.58168561323,67253.58168561323,110.0,115560.0,54.97201718315148,14.972017183151479,123.29823309029094,205.4970551504849,0.004082813812605295,0.038,0.038,1.6284840104137037,0.005694450843896859,-0.03837465564738288,False,
