component,Pa,kPa,percent
coldplates,44496.66431421913,44.49666431421913,50.079202190779625
qdcs,16853.822561997444,16.853822561997443,18.968297978688724
tubing,8537.645713942591,8.537645713942592,9.608776130329968
fittings,6411.857465954652,6.411857465954652,7.216287139829346
valves,457.98981899676085,0.45798981899676083,0.5154490814163819
restrictions,0.0,0.0,0.0
header_friction,2825.6385532339514,2.825638553233951,3.1801423006948
header_minor,9206.148025031333,9.206148025031332,10.361148536621071
hydrostatic_net,62.81579165773688,0.06281579165773687,0.07069664164008915
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
