component,Pa,kPa,percent
coldplates,53009.950757871135,53.00995075787113,49.23247718969952
qdcs,22012.162905250807,22.012162905250808,20.4435826224154
tubing,10185.481333103897,10.185481333103898,9.459666915908041
fittings,7862.207342291171,7.862207342291171,7.301948749359356
valves,561.5862387350835,0.5615862387350835,0.5215677678113825
restrictions,9994.395722751064,9.994395722751063,9.282198010193602
header_friction,809.5845878487216,0.8095845878487217,0.7518938271882138
header_minor,3174.536553024164,3.174536553024164,2.948320007851033
hydrostatic_net,62.82155520112145,0.06282155520112145,0.05834490957344307
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
