design,scenario,M_flow,CV_flow,M_thermal,RMS_target_error,max_abs_target_error,zero_load_flow_fraction,T_out_max_C,T_out_min_C,outlet_spread_K,rack_dp_Pa,system_dp_Pa,rack_flow_LPM,heat_W,T_return_C,rack_deltaT_K,pump_hydraulic_W,pump_electrical_W,header_volume_m3,min_header_ID_m,max_header_ID_m,max_header_velocity_m_s,resolved_fluid_volume_m3,minimum_normalized_margin,feasible,error,failed_constraints
baseline,full,0.5364589663859313,0.24451111320721097,1.057289007175159,0.7349159697275627,1.265297422941159,0.0,55.96999582540781,46.06506379464389,9.904932030763916,79833.85472782559,79833.85472782559,120.0,115560.0,53.72642027106809,13.726420271068093,159.66770945565116,266.11284909275196,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,,
baseline,compute75,0.5358913309515162,0.24428590302899447,0.7361278032635531,0.4413481634259359,0.7544743461342103,0.0,51.983884851883204,46.06226741532072,5.921617436562485,79898.23809520513,79898.23809520513,120.0,89460.0,50.63020401886632,10.630204018866323,159.79647619041026,266.32746031735047,0.004082813812605295,0.038,0.038,1.7727271502646487,0.005694450843896859,0.0,True,,
baseline,compute50,0.5353141109691427,0.244055593787654,0.287869975778695,0.1446063934273893,0.24319284596199636,0.0,47.9935530134851,46.05940575886984,1.9341472546152545,79964.49267236298,79964.49267236298,120.0,63360.0,47.531665179423385,7.531665179423385,159.92898534472596,266.5483089078766,0.004082813812605295,0.038,0.038,1.7700245920831876,0.005694450843896859,0.0,True,,
baseline,nonuniform,0.5352136274288413,0.24426446587521836,0.8681724524657505,0.5145394598237789,0.7545417574669323,0.0,55.962030614650985,46.0620346677573,9.899995946893682,79906.8844090619,79906.8844090619,120.0,89460.0,50.63020401886632,10.630204018866323,159.8137688181238,266.35628136353967,0.004082813812605295,0.038,0.038,1.7727271502646484,0.005694450843896859,0.0,True,,
baseline,switch_heavy,0.5363130080800249,0.24443923982483265,0.8541848727792627,0.5391546679691223,0.9245113241029806,0.0,55.97074570069458,47.27586498565273,8.694880715041847,79828.04516309586,79828.04516309586,120.0,117792.0,53.9910925086881,13.991092508688098,159.6560903261917,266.09348387698617,0.004082813812605295,0.038,0.038,1.775667876859132,0.005694450843896859,0.0,True,,
baseline,near_zero,0.5339017226162072,0.24445218421859602,26.999809145059988,928112.2319394156,4822612.622534373,0.0,55.96820279933587,40.00000270791014,15.968200091425729,79851.12262463635,79851.12262463635,120.0,109760.001,53.038572783666496,13.038572783666496,159.7022452492727,266.17040874878785,0.004082813812605295,0.038,0.038,1.7748334462404307,0.005694450843896859,0.0,True,,
baseline,blocked,0.5431485050183488,0.25129996369591495,1.3146875763414254,0.7607193133215755,1.3051195196341532,0.0,65.23815008256872,45.9603624528832,19.27778762968552,82585.54588201153,82585.54588201153,120.0,115560.0,53.72642027106809,13.726420271068093,165.17109176402306,275.2851529400385,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,-0.01190750412843613,False,,"branch_outlet, minimum_thermal_flow"
baseline,degraded_qdc,0.5362182582098495,0.24318629496414468,1.1131746078925424,0.7409723491575737,1.2754651794763316,0.0,57.320080805133216,46.037982312292,11.282098492841214,80531.99461387802,80531.99461387802,120.0,115560.0,53.72642027106804,13.726420271068037,161.06398922775605,268.4399820462601,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,,
baseline,double_resistance,0.5385921136015336,0.24397749881630063,1.1824650274347273,0.7473932071723509,1.285623075670605,0.0,59.40554382252765,46.011167514910994,13.394376307616653,81232.50345767247,81232.50345767247,120.0,115560.0,53.72642027106804,13.726420271068037,162.46500691534496,270.77501152557494,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,,
baseline,compute_removed,0.53758680348499,0.24805294707677178,1.0436615876924702,0.740853005234977,1.2508475596054938,0.0,55.267268355413194,45.79782578203941,9.469442573373783,86899.00177128645,86899.00177128645,120.0,109760.0,53.03857266506219,13.03857266506219,173.7980035425729,289.6633392376215,0.004082813812605294,0.038,0.038,1.7748334461365802,0.0056190526202107025,0.0,True,,
baseline,switch_removed,0.5279992373004875,0.23618662863247417,1.0854029327570536,0.72289761061363,1.2957578118103033,0.0,55.57603534807748,45.92047880863663,9.655556539440852,83597.36935114439,83597.36935114439,120.0,114320.0,53.57937281631848,13.579372816318482,167.1947387022888,278.65789783714797,0.004082813812605294,0.038,0.038,1.7753071040648742,0.00566617651001455,0.0,True,,
baseline,pump_reduced,0.5368983099540787,0.244599621412469,1.057234820918514,0.7346744459862979,1.2650044480469247,0.0,57.647931572396146,46.703191951320264,10.944739621075882,65556.14384636488,65556.14384636488,108.58192284705244,115560.0,55.16719274315216,15.167192743152157,118.63686922127106,197.7281153687851,0.004082813812605295,0.038,0.038,1.607645176388316,0.005694450843896859,-0.050191965255279226,False,,HX_capacity
baseline,pump_unavailable,0.538140072305371,0.24482945086907762,1.0572030771358207,0.7340533920511829,1.2643078676392976,0.0,61.764798728177766,48.26854061075721,13.496258117420552,43380.0649562142,43380.0649562142,88.03623807280745,115560.0,58.69887592400539,18.698875924005392,63.650295434985416,106.0838257249757,0.004082813812605295,0.038,0.038,1.3057267489894953,0.005694450843896859,-0.22140600504065405,False,,HX_capacity
baseline,warm_coolant,0.5363274930100649,0.24447859183942286,1.0573474120519994,0.7350063639385905,1.265424606723299,0.0,60.98970671655178,51.072255217129566,9.917451499422214,79201.49900098793,79201.49900098793,120.0,115560.0,58.74346650918693,13.74346650918693,158.40299800197585,264.0049966699598,0.004082813812605295,0.038,0.038,1.7754804634789108,0.005694450843896859,0.0,True,,
baseline,warm_facility,0.5364589663859313,0.24451111320721097,1.057289007175159,0.7349159697275627,1.265297422941159,0.0,55.96999582540781,46.06506379464389,9.904932030763916,79833.85472782559,79833.85472782559,120.0,115560.0,53.72642027106809,13.726420271068093,159.66770945565116,266.11284909275196,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,-1.25,False,,"HX_capacity, HX_approach"
