sample,design,coolant,operating_variation,actual_supply_C,actual_compute_fraction,actual_switch_fraction,draw_coldplate_multiplier,draw_qdc_multiplier,draw_tubing_multiplier,draw_restriction_multiplier,draw_compute_load_multiplier,draw_switch_load_multiplier,draw_supply_C,draw_flow_LPM,draw_viscosity_multiplier,draw_roughness_m,draw_efficiency,M_flow,CV_flow,M_thermal,RMS_target_error,max_abs_target_error,zero_load_flow_fraction,T_out_max_C,T_out_min_C,outlet_spread_K,rack_dp_Pa,system_dp_Pa,rack_flow_LPM,heat_W,T_return_C,rack_deltaT_K,pump_hydraulic_W,pump_electrical_W,header_volume_m3,min_header_ID_m,max_header_ID_m,max_header_velocity_m_s,resolved_fluid_volume_m3,minimum_normalized_margin,feasible,error
0,baseline,PG25,False,40,1.0,1.0,0.831214883036104,0.7578692295790306,0.9325330905484835,0.8198032193640747,0.8716198903007893,1.0726553850752818,36.55721755410903,102.3782464986105,1.0501545853736696,3.6893700856028344e-05,0.6946600504613601,0.5682172611813986,0.24438370374087198,1.113436159482417,0.7369492697742445,1.3223364318034563,0.0,56.31958948561896,45.916206290823766,10.403383194795197,70187.11972574047,70187.11972574047,120.0,115560.0,53.72642027106804,13.726420271068037,140.37423945148095,202.0761656845691,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
0,C,PG25,False,40,1.0,1.0,0.831214883036104,0.7578692295790306,0.9325330905484835,0.8198032193640747,0.8716198903007893,1.0726553850752818,36.55721755410903,102.3782464986105,1.0501545853736696,3.6893700856028344e-05,0.6946600504613601,1.090528794728317,0.4971920971295127,0.05883918840065138,0.01931994527686298,0.030493143080347063,0.0,54.13198404259458,53.3208986416854,0.8110854009091781,91870.23841049887,91870.23841049887,120.0,115560.0,53.72642027106804,13.726420271068037,183.74047682099774,264.5041653092992,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
0,D,PG25,False,40,1.0,1.0,0.831214883036104,0.7578692295790306,0.9325330905484835,0.8198032193640747,0.8716198903007893,1.0726553850752818,36.55721755410903,102.3782464986105,1.0501545853736696,3.6893700856028344e-05,0.6946600504613601,1.094938717806563,0.49762652168935206,0.05765745102686552,0.01856487627000752,0.029625156088678835,0.0,54.14554499596045,53.34879334754322,0.7967516484172279,99725.17746017795,99725.17746017795,119.99337567015172,115560.0,53.72717679082365,13.727176790823648,199.439344712528,287.10351859167645,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.7359665460999867,0.0054545766446872325,0.0,True,
0,E,PG25,False,40,1.0,1.0,0.831214883036104,0.7578692295790306,0.9325330905484835,0.8198032193640747,0.8716198903007893,1.0726553850752818,36.55721755410903,102.3782464986105,1.0501545853736696,3.6893700856028344e-05,0.6946600504613601,1.0819881854671787,0.49725589176606544,0.05360588145457715,0.01840048849428982,0.029485667633790708,0.0,54.07102170311941,53.33464863689585,0.7363730662235639,94160.82632467538,94160.82632467538,119.99337567015172,115560.0,53.727176790823705,13.727176790823705,188.31125677647807,271.0840455722345,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.7359665460999862,0.0054545766446872325,0.0,True,
0,D116,PG25,False,40,1.0,1.0,0.831214883036104,0.7578692295790306,0.9325330905484835,0.8198032193640747,0.8716198903007893,1.0726553850752818,36.55721755410903,102.3782464986105,1.0501545853736696,3.6893700856028344e-05,0.6946600504613601,1.094742962401702,0.4975101969647945,0.05831646840717433,0.018823197838374953,0.029715363703174142,0.0,54.63301081563293,53.79977476090397,0.8332360547289568,93247.70752188956,93247.70752188956,116.0,115560.0,54.19893224298369,14.198932242983688,180.2789012089865,259.52104355109213,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6785844423461524,0.0054545766446872325,0.0,True,
1,baseline,PG25,False,40,1.0,1.0,1.1732652037838003,1.1532846700207917,0.7860923942478999,1.2377018269086209,0.7689428372444046,0.8427090556102959,25.743244324223078,110.1693467970918,0.9379305259211003,2.428323828245451e-05,0.7936113711719993,0.5813216662623139,0.24594109899888258,1.1133692363443894,0.7330105273519566,1.3192681966288176,0.0,56.33932842574046,45.92402741330301,10.415301012437453,89438.5060236255,89438.5060236255,120.0,115560.0,53.72642027106804,13.726420271068037,178.877012047251,225.39623113399543,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,True,
1,C,PG25,False,40,1.0,1.0,1.1732652037838003,1.1532846700207917,0.7860923942478999,1.2377018269086209,0.7689428372444046,0.8427090556102959,25.743244324223078,110.1693467970918,0.9379305259211003,2.428323828245451e-05,0.7936113711719993,1.130268442160961,0.5100384533729794,0.07931675977767405,0.02586355337394592,0.039501321983802275,0.0,54.283485939093225,53.2056459313643,1.0778400077289234,118813.36916571557,118813.36916571557,120.0,115560.0,53.72642027106804,13.726420271068037,237.62673833143114,299.42456341131526,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,-0.033159731875787586,False,
1,D,PG25,False,40,1.0,1.0,1.1732652037838003,1.1532846700207917,0.7860923942478999,1.2377018269086209,0.7689428372444046,0.8427090556102959,25.743244324223078,110.1693467970918,0.9379305259211003,2.428323828245451e-05,0.7936113711719993,1.128244256665413,0.5094067644937108,0.07563313500615355,0.024055546061778628,0.03857805031949495,0.0,54.24478868420755,53.218095180536864,1.0266935036706855,130204.72842149991,130204.72842149991,119.99337567015172,115560.0,53.727176790823705,13.727176790823705,260.39508152518533,328.114100911427,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.7359665460999858,0.0054545766446872325,-0.1322150297521731,False,
1,E,PG25,False,40,1.0,1.0,1.1732652037838003,1.1532846700207917,0.7860923942478999,1.2377018269086209,0.7689428372444046,0.8427090556102959,25.743244324223078,110.1693467970918,0.9379305259211003,2.428323828245451e-05,0.7936113711719993,1.122853025253848,0.5098867351082714,0.07404406559229289,0.025255329232682193,0.03939706632745693,0.0,54.28919447801792,53.277058103243405,1.0121363747745136,121782.05713567896,121782.05713567896,119.99337567015172,115560.0,53.72717679082365,13.727176790823648,243.55066886275677,306.8890866609975,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.7359665460999862,0.0054545766446872325,-0.05897440987546921,False,
1,D116,PG25,False,40,1.0,1.0,1.1732652037838003,1.1532846700207917,0.7860923942478999,1.2377018269086209,0.7689428372444046,0.8427090556102959,25.743244324223078,110.1693467970918,0.9379305259211003,2.428323828245451e-05,0.7936113711719993,1.1281239478114116,0.5093375802451171,0.0752747139174162,0.023898212638014744,0.03855993024885075,0.0,54.72925805769842,53.67262230062482,1.0566357570735931,121729.23803616762,121729.23803616762,116.0,115560.0,54.19893224298369,14.198932242983688,235.34319353659072,296.5471540422079,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6785844423461522,0.0054545766446872325,-0.05851511335797929,False,
