component,Pa,kPa,percent
coldplates,49541.386975695175,49.541386975695175,46.280314588833306
qdcs,20571.61901247908,20.571619012479083,19.217487793917314
tubing,9583.217336723781,9.58321733672378,8.95240000717631
fittings,7348.588484584032,7.348588484584032,6.864866076867734
valves,524.8991774702879,0.5248991774702879,0.49034757691912384
restrictions,15712.852114389141,15.712852114389142,14.678550265427644
header_friction,754.739814571871,0.754739814571871,0.70505890495638
header_minor,2944.0658567104474,2.9440658567104476,2.7502720924153263
hydrostatic_net,64.98001699464066,0.06498001699464066,0.060702693486863274
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
