component,Pa,kPa,percent
coldplates,44436.27695282929,44.43627695282929,55.66094372409317
qdcs,16789.10939047858,16.789109390478583,21.030062305919
tubing,8521.919858160401,8.521919858160402,10.674568937218236
fittings,6398.294908625339,6.398294908625339,8.014513304460612
valves,457.02106490180995,0.45702106490180994,0.5724652360329009
restrictions,0.0,0.0,0.0
header_friction,816.5740739891658,0.8165740739891657,1.0228418466990972
header_minor,2351.8414113475415,2.3518414113475417,2.9459198974740497
hydrostatic_net,62.817067493455625,0.06281706749345563,0.07868474810293875
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
