component,Pa,kPa,percent
coldplates,44462.15576797958,44.46215576797958,51.5747537732456
qdcs,16824.910753344222,16.824910753344223,19.516386787198545
tubing,8529.862684822756,8.529862684822756,9.89438231436703
fittings,6405.04853194608,6.405048531946081,7.42966226524509
valves,457.5034665675771,0.4575034665675771,0.5306901618032207
restrictions,0.0,0.0,0.0
header_friction,2823.1255006957203,2.8231255006957205,3.2747400582454667
header_minor,6643.7249504852,6.6437249504852,7.706519680388697
hydrostatic_net,62.816260720175435,0.06281626072017543,0.07286495950635424
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
