design,M_flow,CV_flow,M_thermal,RMS_target_error,max_abs_target_error,zero_load_flow_fraction,T_out_max_C,T_out_min_C,outlet_spread_K,rack_dp_Pa,system_dp_Pa,rack_flow_LPM,heat_W,T_return_C,rack_deltaT_K,pump_hydraulic_W,pump_electrical_W,header_volume_m3,min_header_ID_m,max_header_ID_m,max_header_velocity_m_s,resolved_fluid_volume_m3,minimum_normalized_margin,unique_restrictions,header_profiles,feasible
baseline,0.5364589663859313,0.24451111320721097,1.057289007175159,0.7349159697275627,1.265297422941159,0.0,55.96999582540781,46.06506379464389,9.904932030763916,79833.85472782559,79833.85472782559,120.0,115560.0,53.72642027106809,13.726420271068093,159.66770945565116,266.11284909275196,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,1,constant/constant,True
D,1.0848110599850842,0.5023129434521624,0.021201831680065317,0.006175493816269007,0.013713043732004451,0.0,53.83057865674658,53.54178602619811,0.28879263054847115,114461.12859552307,114461.12859552307,119.99337567015172,115560.0,53.727176790823705,13.727176790823705,228.90962005320242,381.51603342200406,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.7359665460999858,0.0054545766446872325,0.0,2,power/power,True
A,0.5760004983220516,0.24744685920706966,1.0693609281320993,0.7289009797307846,1.2677691187494204,0.0,56.1693474322438,46.058458189733244,10.110889242510552,86209.14791656131,86209.14791656131,120.0,115560.0,53.72642027106809,13.726420271068093,172.41829583312264,287.36382638853775,0.0024162617389688365,0.02923316227850788,0.02923316227850788,2.9999955126400213,0.0040278987702604,0.0,1,constant/constant,True
B,0.598880653223027,0.24948913295028416,1.0761524849037998,0.7254489249316065,1.2689978672607867,0.0,56.28489847295435,46.055179711976336,10.229718760978017,88852.5822450336,88852.5822450336,120.0,115560.0,53.72642027106804,13.726420271068037,177.7051644900672,296.17527415011205,0.002406083719174872,0.029091137603597442,0.029235632355577898,2.9999738694905353,0.004017720750466435,0.0,1,power/power,True
C,1.079668813879105,0.5022655335269879,0.015423452627669748,0.004416969139038677,0.010126220903923084,0.0,53.799401136422375,53.58904308881125,0.2103580476111233,105092.4025634684,105092.4025634684,120.0,115560.0,53.72642027106804,13.726420271068037,210.1848051269368,350.3080085448947,0.004082813812605295,0.038,0.038,1.7754359387857443,0.005694450843896859,0.0,2,constant/constant,True
E,1.0654205607462393,0.5022440688790075,6.652389410615511e-12,3.3085890281459363e-12,5.713906491828699e-12,0.0,53.72717679083655,53.727176790745375,9.117684385273606e-11,107672.72699607717,107672.72699607717,119.99337567015172,115560.0,53.727176790823705,13.727176790823705,215.33356633116625,358.88927721861046,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.7359665460999862,0.0054545766446872325,0.0,27,power/power,True
D116,1.0846314220584137,0.5022002838129656,0.021276779902688694,0.006206876799744905,0.013695501534761855,0.0,54.3072568241663,54.007423002961275,0.2998338212050271,107046.34878961845,107046.34878961845,116.0,115560.0,54.19893224298369,14.198932242983688,206.9562743265957,344.9271238776595,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6785844423461516,0.0054545766446872325,0.0,2,power/power,True
