tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.0923767635032336,6.022845275181723,5.433927264896093,-9.778069722501058,84.06768649067129,0.808116876648092,83.25956961402319,40.0,55.211325218811226,15.211325218811226,53.72642027106809,46.934065394327924,19.626972801264404,16.698531418430846
C02,compute,2,0.13333333333333333,5800.0,0.09179326282446947,6.022845275181723,5.399603695557027,-10.347959330665214,82.88038873616277,0.6566658592984067,82.22372287686437,40.0,55.307839822755284,15.307839822755284,53.65597722200886,46.343017049791705,19.379807129912898,16.500898697159734
C03,compute,3,0.2,5800.0,0.09125811794080979,6.022845275181723,5.368124584753517,-10.870621118661427,81.73918487321923,0.459826985996718,81.27935788722252,40.0,55.397439099995665,15.397439099995665,53.57425548251467,45.80424249554312,19.154501407227126,16.32061398445227
C04,compute,4,0.26666666666666666,5800.0,0.09076951986613566,6.022845275181723,5.339383521537392,-11.347821875163651,80.64174764683811,0.2199017076185092,80.4218459392196,40.0,55.48016597141259,15.480165971412589,53.47994427836102,45.31508155200838,18.94994319447623,16.156821192734963
C05,compute,5,0.3333333333333333,5800.0,0.09032560947242614,6.022845275181723,5.313271145436832,-11.78137736110915,79.58580171593007,-0.06086133494820285,79.64666305087829,40.0,55.556101048634446,15.556101048634446,53.37144552006231,44.872936496108814,18.76504617110005,16.008680383669432
C06,compute,6,0.39999999999999997,5800.0,0.08992447926895684,6.022845275181723,5.289675251115108,-12.173150572002593,78.56911830966138,-0.3802611409878771,78.94937945064926,40.0,55.62536176382662,15.625361763826618,53.24679230366985,44.475265844861774,18.598747535124012,15.875366070663471
C07,compute,7,0.4666666666666667,5800.0,0.08956417544858324,6.022845275181723,5.26848090874019,-12.525049739365457,77.5895100701201,-0.73613940804923,78.32564947816934,40.0,55.68810112796211,15.688101127962113,53.1035386125879,44.1195783808153,18.45000550470458,15.756065592649458
C08,compute,8,0.5333333333333333,5800.0,0.08924270015415162,6.022845275181723,5.249570597303037,-12.839026117192686,76.64482607367364,-1.126375824841083,77.77120189851473,40.0,55.74450615638176,15.74450615638176,52.938607575973094,43.80342741942097,18.31779692084877,15.649977558244991
C09,compute,9,0.6,5800.0,0.08895801391709789,6.022845275181723,5.2328243480645815,-13.117071600238065,75.73294702174158,-1.5488836108291744,77.28183063257076,40.0,55.794796006745344,15.794796006745344,52.748078864655156,43.524405320410196,18.201114952171533,15.556310359989052
S01,switch,10,0.6666666666666666,1240.0,0.049641301166394376,1.2876427829698858,2.9200765391996693,126.77691187494204,74.85178058930954,-2.001605322426836,76.85338591173638,40.0,46.058458189733244,6.058458189733244,52.52688465538114,49.28517562985335,12.321293907463337,15.246916374419666
S02,switch,11,0.7333333333333333,1240.0,0.049511329938805276,1.2876427829698858,2.9124311728708987,126.1831628608609,73.9868873166123,-2.470326198197644,76.45721351480994,40.0,46.07435042348487,6.074350423484873,52.799673237942045,49.027435846184716,12.256858961546179,15.17291870707906
S03,switch,12,0.7999999999999999,1240.0,0.04939121463070503,1.2876427829698858,2.9053655665120606,125.63443875412213,73.13760536860136,-2.954379345518226,76.09198471411959,40.0,46.08911183609166,6.089111836091661,53.09497468146776,48.78984165392742,12.197460413481855,15.104682646710316
