component,Pa,kPa,percent
coldplates,44523.35748629358,44.52335748629358,40.079733924628385
qdcs,16822.164766796483,16.822164766796483,15.143239997051458
tubing,8640.768810912738,8.640768810912737,7.778382727587962
fittings,6404.540578800825,6.404540578800825,5.765339740760672
valves,457.4671842000589,0.4574671842000589,0.41180998148290515
restrictions,0.0,0.0,0.0
header_friction,826.3587244245514,0.8263587244245514,0.7438845511915252
header_minor,2354.1101439060976,2.3541101439060976,2.1191597741942783
hydrostatic_net,62.78602143930141,0.06278602143930141,0.05651970506150388
external_piping,8106.350785334734,8.106350785334733,7.297301931372504
external_fittings,10379.762233749505,10.379762233749505,9.343817088764181
external_equipment,12509.292000000003,12.509292000000004,11.2608105779046
