component,Pa,kPa,percent
coldplates,50240.18200964065,50.240182009640655,51.123876570728356
qdcs,20864.517535827334,20.864517535827332,21.231511840557193
tubing,8293.907200482481,8.293907200482481,8.439792035888253
fittings,7656.558146592219,7.656558146592219,7.791232395771829
valves,546.8970104708728,0.5468970104708728,0.5565165996979878
restrictions,7782.9587256971245,7.782958725697124,7.919856284980426
orifices,0.0,0.0,0.0
header_friction,641.2038174671213,0.6412038174671213,0.6524822066643506
header_minor,2190.1418635488753,2.190141863548875,2.2286651406432383
hydrostatic_net,55.09778813934987,0.055097788139349874,0.056066925068379375
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
