component,Pa,kPa,percent
coldplates,42051.09759423096,42.05109759423096,56.442037392959946
qdcs,15884.902770849723,15.884902770849724,21.321114726357
tubing,6882.189849765119,6.882189849765119,9.2374477497392
fittings,6221.054405857818,6.221054405857818,8.35005518256049
valves,444.3610289898441,0.4443610289898441,0.5964325130400351
restrictions,0.0,0.0,0.0
orifices,0.0,0.0,0.0
header_friction,677.0640806574984,0.6770640806574983,0.9087723827485379
header_minor,2287.3289528857395,2.2873289528857397,3.070110262864778
hydrostatic_net,55.15452766426701,0.055154527664267004,0.07402978973002321
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
