component,Pa,kPa,percent
coldplates,48434.38313578464,48.43438313578464,55.51090337818353
qdcs,18301.119264791843,18.301119264791843,20.975009847289453
tubing,9874.906077670486,9.874906077670486,11.317682226063171
fittings,6687.406216625319,6.687406216625319,7.664471730775106
valves,477.6718726160941,0.4776718726160941,0.547462266483936
restrictions,0.0,0.0,0.0
orifices,0.0,0.0,0.0
header_friction,931.4404847353206,0.9314404847353206,1.0675288793441797
header_minor,2458.0655338900124,2.4580655338900126,2.8172019444632714
hydrostatic_net,87.02492441369483,0.08702492441369483,0.09973972739735767
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
