component,Pa,kPa,percent
coldplates,57732.9638348955,57.7329638348955,50.322472563192086
qdcs,23971.22758490571,23.971227584905712,20.89432730142174
tubing,11687.837917652956,11.687837917652956,10.18760970969977
fittings,8210.42843523361,8.210428435233611,7.156553764426069
valves,586.4591739452578,0.5864591739452578,0.5111824117447191
restrictions,9212.482534324772,9.212482534324772,8.029986142721366
orifices,0.0,0.0,0.0
header_friction,883.0779192049259,0.883077919204926,0.7697277501192588
header_minor,2354.5004148600983,2.3545004148600985,2.0522813078791966
hydrostatic_net,87.0300582940788,0.0870300582940788,0.07585904879578778
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
