component,Pa,kPa,percent
coldplates,44906.75508492225,44.90675508492225,54.39056202839065
qdcs,17041.496463453877,17.04149646345388,20.640470875690138
tubing,8608.233263515805,8.608233263515805,10.426196334798538
fittings,6474.62389866858,6.474623898668581,7.841992415285277
valves,462.4731356191843,0.4624731356191843,0.5601423153775198
restrictions,0.0,0.0,0.0
orifices,1778.5067185205883,1.7785067185205883,2.154107545928711
header_friction,835.4928709323076,0.8354928709323076,1.0119396677579053
header_minor,2393.106566696497,2.393106566696497,2.89850404266145
hydrostatic_net,62.81825723473363,0.06281825723473362,0.07608477410981684
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
