tray_id,component,count,power_each_W,coolant_reference_C,resistance_low_K_W,resistance_high_K_W,junction_low_C,junction_high_C,target_max_C,target_margin_K,manufacturer_limit_C,manufacturer_margin_K
C01,GPU,4,1200.0,53.58904308881125,0.01,0.02,65.58904308881125,77.58904308881125,80.0,2.410956911188748,,
C01,CPU,2,500.00000000000006,53.58904308881125,0.02,0.04,63.58904308881125,73.58904308881125,80.0,6.410956911188748,,
C02,GPU,4,1200.0,53.611378487538275,0.01,0.02,65.61137848753827,77.61137848753827,80.0,2.388621512461725,,
C02,CPU,2,500.00000000000006,53.611378487538275,0.02,0.04,63.611378487538275,73.61137848753827,80.0,6.388621512461725,,
C03,GPU,4,1200.0,53.63159520808779,0.01,0.02,65.63159520808779,77.63159520808779,80.0,2.368404791912212,,
C03,CPU,2,500.00000000000006,53.63159520808779,0.02,0.04,63.63159520808779,73.63159520808779,80.0,6.368404791912212,,
C04,GPU,4,1200.0,53.649782958805815,0.01,0.02,65.64978295880582,77.64978295880582,80.0,2.3502170411941847,,
C04,CPU,2,500.00000000000006,53.649782958805815,0.02,0.04,63.649782958805815,73.64978295880582,80.0,6.350217041194185,,
C05,GPU,4,1200.0,53.66603544764456,0.01,0.02,65.66603544764456,77.66603544764456,80.0,2.3339645523554395,,
C05,CPU,2,500.00000000000006,53.66603544764456,0.02,0.04,63.66603544764456,73.66603544764456,80.0,6.3339645523554395,,
C06,GPU,4,1200.0,53.68045006890708,0.01,0.02,65.68045006890708,77.68045006890708,80.0,2.319549931092922,,
C06,CPU,2,500.00000000000006,53.68045006890708,0.02,0.04,63.68045006890708,73.68045006890708,80.0,6.319549931092922,,
C07,GPU,4,1200.0,53.69312759796702,0.01,0.02,65.69312759796702,77.69312759796702,80.0,2.3068724020329796,,
C07,CPU,2,500.00000000000006,53.69312759796702,0.02,0.04,63.69312759796702,73.69312759796702,80.0,6.30687240203298,,
C08,GPU,4,1200.0,53.70417189758757,0.01,0.02,65.70417189758757,77.70417189758757,80.0,2.295828102412429,,
C08,CPU,2,500.00000000000006,53.70417189758757,0.02,0.04,63.70417189758757,73.70417189758757,80.0,6.295828102412429,,
C09,GPU,4,1200.0,53.71368963955359,0.01,0.02,65.71368963955359,77.71368963955359,80.0,2.2863103604464072,,
C09,CPU,2,500.00000000000006,53.71368963955359,0.02,0.04,63.71368963955359,73.71368963955359,80.0,6.286310360446407,,
S01,NVSwitch,2,620.0,53.69738838252982,0.015,0.035,62.99738838252982,75.39738838252983,80.0,4.602611617470174,,
S02,NVSwitch,2,620.0,53.705041781012994,0.015,0.035,63.00504178101299,75.405041781013,80.0,4.594958218987003,,
S03,NVSwitch,2,620.0,53.71242675958871,0.015,0.035,63.012426759588706,75.41242675958871,80.0,4.587573240411288,,
S04,NVSwitch,2,620.0,53.71954744608075,0.015,0.035,63.01954744608075,75.41954744608076,80.0,4.580452553919244,,
S05,NVSwitch,2,620.0,53.72640803821224,0.015,0.035,63.02640803821224,75.42640803821224,80.0,4.573591961787756,,
S06,NVSwitch,2,620.0,53.73301280172956,0.015,0.035,63.033012801729555,75.43301280172956,80.0,4.566987198270439,,
S07,NVSwitch,2,620.0,53.73936606853562,0.015,0.035,63.039366068535614,75.43936606853562,80.0,4.5606339314643805,,
S08,NVSwitch,2,620.0,53.745472234835404,0.015,0.035,63.0454722348354,75.4454722348354,80.0,4.554527765164593,,
S09,NVSwitch,2,620.0,53.75133575929681,0.015,0.035,63.051335759296805,75.45133575929681,80.0,4.548664240703189,,
C10,GPU,4,1200.0,53.78267574657832,0.01,0.02,65.78267574657832,77.78267574657832,80.0,2.2173242534216797,,
C10,CPU,2,500.00000000000006,53.78267574657832,0.02,0.04,63.78267574657832,73.78267574657832,80.0,6.21732425342168,,
C11,GPU,4,1200.0,53.78733186969936,0.01,0.02,65.78733186969936,77.78733186969936,80.0,2.212668130300642,,
C11,CPU,2,500.00000000000006,53.78733186969936,0.02,0.04,63.78733186969936,73.78733186969936,80.0,6.212668130300642,,
C12,GPU,4,1200.0,53.791012234243965,0.01,0.02,65.79101223424396,77.79101223424396,80.0,2.208987765756035,,
C12,CPU,2,500.00000000000006,53.791012234243965,0.02,0.04,63.791012234243965,73.79101223424396,80.0,6.208987765756035,,
C13,GPU,4,1200.0,53.793836150123354,0.01,0.02,65.79383615012335,77.79383615012335,80.0,2.2061638498766456,,
C13,CPU,2,500.00000000000006,53.793836150123354,0.02,0.04,63.793836150123354,73.79383615012335,80.0,6.206163849876646,,
C14,GPU,4,1200.0,53.79592464098937,0.01,0.02,65.79592464098937,77.79592464098937,80.0,2.2040753590106306,,
C14,CPU,2,500.00000000000006,53.79592464098937,0.02,0.04,63.79592464098937,73.79592464098937,80.0,6.204075359010631,,
C15,GPU,4,1200.0,53.79740053164255,0.01,0.02,65.79740053164255,77.79740053164255,80.0,2.202599468357448,,
C15,CPU,2,500.00000000000006,53.79740053164255,0.02,0.04,63.79740053164255,73.79740053164255,80.0,6.202599468357448,,
C16,GPU,4,1200.0,53.79838870214729,0.01,0.02,65.79838870214729,77.79838870214729,80.0,2.2016112978527076,,
C16,CPU,2,500.00000000000006,53.79838870214729,0.02,0.04,63.79838870214729,73.79838870214729,80.0,6.201611297852708,,
C17,GPU,4,1200.0,53.79901666145366,0.01,0.02,65.79901666145366,77.79901666145366,80.0,2.2009833385463367,,
C17,CPU,2,500.00000000000006,53.79901666145366,0.02,0.04,63.79901666145366,73.79901666145366,80.0,6.200983338546337,,
C18,GPU,4,1200.0,53.799401136422375,0.01,0.02,65.79940113642238,77.79940113642238,80.0,2.200598863577625,,
C18,CPU,2,500.00000000000006,53.799401136422375,0.02,0.04,63.799401136422375,73.79940113642238,80.0,6.200598863577625,,
