case,pump_reduction_percent,pump_savings_W,net_savings_W,savings_percent_IT,peak_temperature_reduction_K,fixed_peak_C,active_peak_C,fixed_thermal_pass,active_thermal_pass,fixed_flow_LPM,active_flow_LPM,annual_savings,payback_years,break_even_price,affordable_capex,active_actuations,pressure_residual_Pa
steady,-15.474676188978622,-42.66154685297823,-58.659546852978224,-0.05076111704134494,0.5306469560058957,78.16396303648324,77.63331608047734,True,True,110.32104944376951,114.37198240285507,-386.6629156518507,,,0,27,1.4182587619870901e-06
rack_step,-47.85316402608365,-131.54980345800186,-159.88980345800178,-0.2087770336597746,-0.4003382263583859,73.40356782645704,73.80390605281542,True,True,110.2151554928452,90.75740925576537,-493.0761613950515,,,0,524,2.3137719836086035e-05
localized,6.17422470717077,16.937443891900216,-8.769889441433122,-0.019643462791407364,0.061357996148586835,69.79299497013758,69.731636973989,True,True,110.13676383331588,60.46854533313579,-334.2189077808345,,,0,420,3.451216616667807e-05
heterogeneous,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05
worst_case,-15.474676188978622,-42.66154685297823,-58.659546852978224,-0.05076111704134494,0.5306469560058957,78.16396303648324,77.63331608047734,True,True,110.32104944376951,114.37198240285507,-386.6629156518507,,,0,27,1.4182587619870901e-06
bursts,-29.171926501975985,-80.14917378461399,-116.38717378461405,-0.16229804465725967,-0.00500235884099709,76.9814657920938,76.9864681509348,True,True,110.19400853519619,87.02348826664131,-447.34619708238625,,,0,1091,4.4462853111326694e-05
remove_compute,-15.397682934507548,-41.06877752097955,-57.162110854312914,-0.05119545161955874,0.5305308146013772,78.16100103233231,77.63047021773093,True,True,106.6612607868746,110.51722960725233,-385.0888109300537,,,0,29,1.4182587619870901e-06
remove_switch,-15.488893824055365,-42.39199304960789,-58.39732638294123,-0.05090197642038813,0.5299788381410195,78.16311857670577,77.63313973856475,True,True,109.53695971585296,113.58439147831169,-386.3872694937479,,,0,29,1.4182587619870901e-06
remove_several,-20.151566462164777,-50.09626126946648,-66.51226126946653,-0.06405017263343721,0.726681419456014,78.15516600192352,77.4284845824675,True,True,99.3231731337076,104.13875278892608,-394.91768904646324,,,0,51,1.4182587619870901e-06
reinstall,-15.429958223706429,-41.78800207135049,-58.218668738017186,-0.05133287666250832,0.5307644650454364,78.17171746169039,77.64095299664496,False,False,108.39894741809843,112.34389581723163,-386.19946457740366,,,0,49,1.4182587619870901e-06
steady_low_utilization,36.346792859692975,99.63345370249854,76.63945370249851,0.1804130266066349,0.016420124845367923,69.7952319753478,69.77881185050244,True,True,110.10879859247603,58.17089207937376,-244.43660626793354,,5.073271880269836,0,330,2.1538144210353494e-06
