parameter,value,case,pump_reduction_percent,pump_savings_W,net_savings_W,savings_percent_IT,peak_temperature_reduction_K,fixed_peak_C,active_peak_C,fixed_thermal_pass,active_thermal_pass,fixed_flow_LPM,active_flow_LPM,annual_savings,payback_years,break_even_price,affordable_capex,active_actuations,pressure_residual_Pa
supply_offset_K,-5.0,supply_offset_K=-5.0,-54.20520148454986,-150.16681967055672,-182.47415300388997,-0.23543755828138058,0.6731455608847909,72.9908956353785,72.3177500744937,True,True,110.2300905820507,92.40116113712263,-516.8168296376891,,,0,680,6.653543096035719e-05
supply_offset_K,5.0,supply_offset_K=5.0,-61.070332973856154,-168.4023126174107,-200.74631261741064,-0.25901324049782715,0.47770038784457824,82.97375895268236,82.49605856483778,False,False,110.59563652263397,96.97787399949453,-536.024523823422,,,0,665,4.292957601137459e-05
target_rise_K,10.0,target_rise_K=10.0,6.205388172436008,40.681954680368676,5.778621347035255,0.007455875135091817,0.0,76.94928612227912,76.94928612227912,True,True,147.57158115745585,124.97402976918993,-318.92551323999663,,67.2846968226452,0,923,7.816110155545175e-05
target_rise_K,20.0,target_rise_K=20.0,-163.9618846585393,-200.55027237218178,-232.57160570551508,-0.3000758741525392,3.627729343193124,81.90091348876952,78.2731841455764,False,True,83.70569514783773,76.23269241918346,-569.4792719176374,,,0,674,0.000232836784562096
correlation,0.0,correlation=0.0,-50.810592750097655,-140.0772848289485,-170.5439514956151,-0.23326481772503693,0.5599181878891102,77.85949275341245,77.29957456552334,True,True,110.32091415724021,89.1527027523099,-504.2758018121906,,,0,624,6.692376337014139e-05
correlation,1.0,correlation=1.0,-23.306301992787347,-64.10439036711631,-92.18039036711633,-0.106436002844035,0.029780524082681836,71.96692908109934,71.93714855701666,True,True,110.23533305536388,99.13543731216208,-421.90002635391266,,,0,628,1.0567193385213614e-05
spike_s,10.0,spike_s=10.0,-38.75624478898184,-106.82496751327,-142.14630084660337,-0.2019421915263098,0.09323011014386395,77.18834677261604,77.09511666247218,True,True,110.31384425263333,85.29598522085189,-474.4241914499495,,,0,1106,7.571317837573588e-05
spike_s,100.0,spike_s=100.0,-66.81417909184793,-184.19533634492404,-212.4473363449241,-0.25133923434912925,0.8774585852460461,78.16396276079303,77.28650417554698,True,True,110.32061742520078,101.57696248512521,-548.3246399657842,,,0,682,2.70016462309286e-05
valve_stroke_s,5.0,valve_stroke_s=5.0,-58.45659120749127,-161.15617105619032,-191.17550438952367,-0.24666449037152838,0.949511799490196,77.99287850529218,77.04336670580199,True,True,110.32091415724021,82.97802171063461,-525.9636902142672,,,0,522,6.785965524613857e-05
valve_stroke_s,120.0,valve_stroke_s=120.0,-54.74681361960485,-150.9288632507836,-183.80086325078355,-0.2371493482304418,0.6351199317917633,77.99287850529218,77.35775857350042,True,True,110.32091415724021,98.86573091215277,-518.2114674492236,,,0,761,7.97598622739315e-05
electricity_per_kWh,0.05,electricity_per_kWh=0.05,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-407.30186406732366,,,0,675,6.829679477959871e-05
electricity_per_kWh,0.4,electricity_per_kWh=0.4,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-983.4149125385895,,,0,675,6.829679477959871e-05
compute_C_J_K,3000.0,compute_C_J_K=3000.0,-57.2611207917639,-157.8604360358957,-189.7791027025624,-0.24486278093407643,0.14256755874737337,78.19769878826452,78.05513122951714,True,True,110.32091415724021,93.86092209656326,-524.4957927609336,,,0,681,1.7116981325671077e-05
compute_C_J_K,30000.0,compute_C_J_K=30000.0,-57.66616158769241,-158.97707356889345,-190.31640690222684,-0.24555603850914037,0.45721774489332745,77.59962417310221,77.14240642820889,True,True,110.32091415724021,94.09170390110812,-525.0606069356209,,,0,676,5.76110032852739e-05
switch_C_J_K,1000.0,switch_C_J_K=1000.0,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05
switch_C_J_K,12000.0,switch_C_J_K=12000.0,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05
compute_R_K_W,0.002,compute_R_K_W=0.002,-54.81755318543674,-151.12388176514037,-183.38721509847375,-0.2366156380618277,0.04776868926197153,69.7673875501695,69.71961886090753,True,True,110.32091415724021,92.47016050347635,-517.7766405115156,,,0,680,6.787601159885526e-05
compute_R_K_W,0.008,compute_R_K_W=0.008,-69.02116018051251,-190.28112428016397,-222.405124280164,-0.2869585557614428,0.5788939844435248,100.99723764302304,100.41834365857952,False,False,110.32091415724021,101.24259723620703,-558.7922666433084,,,0,897,0.0001041787036228925
switch_R_K_W,0.006,switch_R_K_W=0.006,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05
switch_R_K_W,0.024,switch_R_K_W=0.024,-62.121907350718786,-171.26090523845465,-205.2109052384546,-0.2647736880358259,1.0316688713657243,84.54095499364202,83.5092861222763,False,False,110.32091415724021,98.06429109806545,-540.7177035866634,,,0,705,5.590185173787177e-05
coolant_C_J_K,400.0,coolant_C_J_K=400.0,-56.833979484586315,-156.68287066400563,-187.88287066400562,-0.24241616461202,0.6802589824225862,77.99979939886857,77.31954041644599,True,True,110.32091415724021,93.61121071699823,-522.5024736420027,,,0,675,6.92517205607146e-05
coolant_C_J_K,4000.0,coolant_C_J_K=4000.0,-56.863362123101815,-156.76387425010046,-187.95654091676704,-0.24251121776964588,0.6664003731328876,77.9671172568736,77.30071688374072,True,True,110.32091415724021,93.62793413839232,-522.5799158117055,,,0,675,6.506952922791243e-05
valve_tau_s,2.0,valve_tau_s=2.0,-63.999160890189636,-176.43621543485273,-216.51688210151946,-0.27936124217873526,1.0260637941164674,77.99287850529218,76.96681471117572,True,True,110.32091415724021,92.0533859263073,-552.6025464651173,,,0,2678,0.00019066614913754165
valve_tau_s,40.0,valve_tau_s=40.0,-64.03261167697507,-176.52843430368858,-212.53176763702191,-0.2742194420741851,0.5377743615903228,77.99287850529218,77.45510414370186,True,True,110.32091415724021,100.77062456997339,-548.4133941400374,,,0,581,6.060703890398145e-05
valve_min_area_fraction,0.001,valve_min_area_fraction=0.001,-56.296858631476965,-155.202107959689,-186.15277462635567,-0.24018390552221944,0.6842842014609118,77.99287850529218,77.30859430383127,True,True,110.32091415724021,92.99481135991955,-520.683796687225,,,0,683,3.98835982196033e-05
valve_min_area_fraction,0.05,valve_min_area_fraction=0.05,-60.293222625348115,-166.21949207490513,-198.84215874157178,-0.256556403012959,0.6586309894150872,77.99287850529218,77.3342475158771,True,True,110.32091415724021,96.59321176705045,-534.0228772691403,,,0,620,0.00010457113967277111
sensor_noise_K,0.0,sensor_noise_K=0.0,-56.85565056516686,-156.74261462609564,-187.94994795942893,-0.24250271119623815,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.62343992182265,-522.5729852949516,,,0,675,7.339214789681137e-05
sensor_noise_K,1.0,sensor_noise_K=1.0,-56.73135950751635,-156.39996257379954,-187.5412959071329,-0.241975447253398,0.6766709744807571,77.99287850529218,77.31620753081143,True,True,110.32091415724021,93.55401200919138,-522.1434102575781,,,0,676,5.010797758586705e-05
pump_tau_s,2.0,pump_tau_s=2.0,-60.26238990554365,-164.93368441575313,-194.6596844157533,-0.25115995904193655,0.528570425607569,78.01370861383137,77.4851381882238,True,True,110.06245573396048,93.41423272553767,-529.6262602578398,,,0,701,6.071754614822567e-05
pump_tau_s,40.0,pump_tau_s=40.0,-44.18884953770676,-125.18059254521904,-158.32392587855247,-0.20427769036184565,0.7442680829146582,77.86372556254507,77.11945747963041,True,True,111.30470153737728,93.53735417404803,-491.4301108835344,,,0,600,5.7169003412127495e-05
minimum_flow_fraction,0.05,minimum_flow_fraction=0.05,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05
minimum_flow_fraction,0.3,minimum_flow_fraction=0.3,-57.823180928136956,-159.40995265344344,-190.5586193201101,-0.24586855345612382,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,94.17973968529985,-525.3152206292997,,,0,753,7.085589459165931e-05
