case,pump_reduction_percent,pump_savings_W,net_savings_W,savings_percent_IT,peak_temperature_reduction_K,fixed_peak_C,active_peak_C,fixed_thermal_pass,active_thermal_pass,fixed_flow_LPM,active_flow_LPM,annual_savings,payback_years,break_even_price,affordable_capex,active_actuations,pressure_residual_Pa
constant_speed / reactive,12.960240409558093,45.86810939933582,6.205442732669155,0.008006582088387162,-0.34919770737872113,76.94928612227918,77.2984838296579,True,True,119.99999999945103,91.27075009570947,-318.4768385994182,,62.65673572994002,0,1759,2.3515982320532206e-05
constant_speed / feedforward,13.057065786839484,46.21078799613866,12.106787996138621,0.015620801946566325,-0.06287349351153182,76.94928612227918,77.01215961579071,True,True,119.99999999945103,90.45508437369996,-312.2733444584591,,32.11527165687033,0,489,8.605729090049863e-05
constant_speed / combined,12.188521265476126,43.136887060264996,10.308887060265022,0.013301057481908551,-0.05950430185235689,76.94928612227918,77.00879042413153,True,True,119.99999999945103,91.61357325412894,-314.1632979222494,,37.71627170956053,0,432,3.052459214814007e-05
constant_dp / reactive,26.110523884137383,92.40880787223273,52.570141205566074,0.06782870603970974,-0.227283097100198,76.94928612230193,77.17656921940213,True,True,119.99999999922257,88.13029787708707,-269.73826756470896,,7.396076488890253,0,1783,1.9302198779769242e-05
constant_dp / feedforward,25.223053106988743,89.26792426140742,56.307924261407436,0.07265138641151038,-0.15135913043748417,76.94928612230193,77.10064525273941,True,True,119.99999999922257,89.06229103814525,-265.8091100164085,,6.905116650776876,0,416,2.886852598749101e-05
constant_dp / combined,24.554603979276944,86.90218900120425,54.98352233453761,0.07094257477593184,-0.118481170940413,76.94928612230193,77.06776729324234,True,True,119.99999999922257,89.87099741610129,-267.2013213219341,,7.071441931683909,0,440,1.6154750483110547e-05
demand / reactive,-72.90962822890558,-201.00105524105544,-240.42905524105538,-0.3102139605747151,0.5146785606010695,77.99287850529218,77.47819994469111,True,True,110.32091415724021,99.70149460117977,-577.7390228693973,,,0,1692,2.8996029868721965e-05
demand / feedforward,-54.81755318543674,-151.12388176514037,-183.38721509847375,-0.2366156380618277,0.6715388126764452,77.99287850529218,77.32133969261574,True,True,110.32091415724021,92.47016050347635,-517.7766405115156,,,0,680,6.787601159885526e-05
demand / combined,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05
