case,fixed_peak_C,active_peak_C,peak_reduction_K,mean_reduction_K,fixed_over_limit_s,active_over_limit_s,fixed_aux_W,active_aux_W,selected,max_pressure_residual_Pa,max_energy_residual_W
steady,76.94928612227912,76.94928612227912,0.0,-0.638147772555385,0.0,0.0,655.5908115639836,669.9565370252432,fixed,1.9755243556573987e-06,1.722924025671091e-10
rack_spike,69.43153796225602,69.55293198376371,-0.1213940215076974,-1.4567267050257797,0.0,0.0,323.0316554218032,313.1810147933066,fixed,8.354050805792212e-06,1.206217348226346e-10
local_spike,69.43153796225602,69.55839675694855,-0.1268587946925379,-2.01469987806167,0.0,0.0,323.0316554218032,280.68640546973114,fixed,4.025976522825658e-05,1.0550138540565968e-10
heterogeneous,76.94928612227912,76.94928612227912,0.0,-1.1700601375675106,0.0,0.0,655.5908115639836,650.3192756774329,fixed,0.00014042688417248428,1.7359980120090768e-10
service_spike,69.41790826095348,69.3390257466833,0.07888251427017678,-1.4383786217976038,0.0,0.0,318.18244312187386,317.60628158179765,fixed,1.5392753994092345e-05,1.242028702108655e-10
